Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,CB Rank (Company),Number of Funding Rounds,LinkedIn,Website,Founders
Bunnyshell,https://www.crunchbase.com/organization/bunnyshell,"Information Technology, SaaS, Software","Bucharest, Bucuresti, Romania",BunnyShell is a cloud based platform,750000,EUR,830544,Seed,"24,767",2,https://www.linkedin.com/company/bunnyshell/,https://www.bunnyshell.com,"Alin Dobra, Roxana Ciobanu, Silviu Chiran"
Sesh,https://www.crunchbase.com/organization/sesh-9f12,"Artificial Intelligence, Neuroscience, Software","Beverly Hills, California, United States",Sesh is a neuroscience based professional learning & development platform.,825000,USD,825000,Seed,"7,920",1,https://www.linkedin.com/company/goseshyourself/,https://www.gosesh.com,"Cauri Jaye, David Dorfman, Kevin Woolery"
UpUdate,https://www.crunchbase.com/organization/upudate,"Lifestyle, Mobile Apps, Service Industry, Social Media, Software","San Francisco, California, United States","UpUdate is a mobile Super App that consists of Shopping, Social Media, News, Services, Streaming, Podcasts & Much More! Join The Waitlist!",800000,USD,800000,Series A,"9,383",6,https://www.linkedin.com/company/upudate-inc/,https://upudate.com/,"Mohammad Hadi Safari, Mohammad Mehdi Safari"
onetool,https://www.crunchbase.com/organization/onetool,"Information Services, Information Technology, SaaS, Software","San Francisco, California, United States","onetool offers an app-store for business software needed to run a startup, small, and midsize business.",800000,USD,800000,Seed,"10,559",3,https://www.linkedin.com/company/onetool/about/,https://onetool.co/,"Gordian Braun, Tobias Becker"
Triparound,https://www.crunchbase.com/organization/triparound,"Information Technology, SaaS, Software, Tourism, Travel","Palo Alto, California, United States",Triparound is bringing travel planning into the future with a holistic software platform (SaaS) for travel professionals worldwide,800000,USD,800000,Seed,"27,601",2,https://www.linkedin.com/company/triparoundcom,https://www.triparound.com,"Antonis Chalkiopoulos, Christos Stergiou"
ROOMDEX,https://www.crunchbase.com/organization/roomdex,"Hospitality, Information Technology, SaaS, Software","Santa Cruz, California, United States","Hotel Software, SaaS, Hospitality, Technology",796000,USD,796000,Seed,"21,861",1,https://www.linkedin.com/company/roomdex,https://www.roomdex.io,"Denis Bajet, Jos Schaap, Pierre Boettner"
eTailPet,https://www.crunchbase.com/organization/etailpet,"E-Commerce, Software, Web Development","Los Angeles, California, United States",ETailPet  facilitates online sales by creating custom online stores for independent pet retailers.,775000,USD,775000,Seed,"11,033",1,https://www.linkedin.com/company/etail-pet/,https://www.etailpet.com/,
"Teal Communications, Inc.",https://www.crunchbase.com/organization/teal-communications-inc,"Information Technology, Internet of Things, Mobile, Network Security, Private Social Networking, Software, Telecommunications","Bellevue, Washington, United States",Teal provides seamless connectivity for IoT.,775000,USD,775000,Seed,"35,713",3,,http://tealcom.io,"Michael Johnston, Robby Hamblet"
InquireOf,https://www.crunchbase.com/organization/inquireof,"Information Technology, SaaS, Software","Boise, Idaho, United States",Saas platform connecting knowledge seekers with expert advisors to accelerate informed decisions.,775000,USD,775000,Seed,"63,112",1,https://linkedin.com/company/inquireof,https://inquireof.com,"Dave Myers, Kyle Sale"
Shift,https://www.crunchbase.com/organization/shift-3839,"Productivity Tools, Software","Victoria, British Columbia, Canada","Shift is where work gets done. It’s all of your apps, accounts, and workflows in one desktop workstation, designed for focus and efficiency.",1000000,CAD,757965,Seed,"10,023",1,https://www.linkedin.com/company/tryshift/,https://tryshift.com/,
Deckard Technologies,https://www.crunchbase.com/organization/deckard-technologies-inc,"Data Mining, Machine Learning, Real Estate Investment, Software","La Jolla, California, United States","Deckard Technologies is a software analytics company employing machine learning, forensic data analysis, and automation for cities.",751648,USD,751648,Seed,"36,492",3,https://www.linkedin.com/company/deckard-technologies/about/,http://deckardtech.com,"Greg Rose, Neil Senturia"
DebtBook,https://www.crunchbase.com/organization/debtbook,"Financial Services, Government, Software","Charlotte, North Carolina, United States",DebtBook provides software and services to government and non-profit finance professionals.,750087,USD,750087,Seed,"59,014",1,https://www.linkedin.com/company/fifth-asset-inc/,https://www.debtbook.com/,
Instacruise.ai,https://www.crunchbase.com/organization/instacruise-ai,"Internet, Social Media Marketing, Software","Boulder, Colorado, United States",Instagram Growth Service,750000,USD,750000,Seed,"2,611",1,,https://instacruise.ai,
Greenzie,https://www.crunchbase.com/organization/greenzie,"Home and Garden, Robotics, Software","Atlanta, Georgia, United States",Greenzie develops software for autonomous robotic lawn mowers to reduce the labor costs of lawn maintenance.,750000,USD,750000,Seed,"28,867",2,https://www.linkedin.com/company/greenzie/,https://greenzie.com,"Charles Brian Quinn, David Cummings"
Hook Security Inc,https://www.crunchbase.com/organization/hook-security-inc,"Consulting, Corporate Training, Cyber Security, Education, Information Technology, Internet, SaaS, Software, Training","Greenville, South Carolina, United States",Hook Security is a cyber security company designed to help companies with social engineering attacks.,750000,USD,750000,Seed,"39,266",1,https://www.linkedin.com/company/hooksecurity,https://hooksecurity.co,Zachary Eikenberry
Hybrid Energy Storage Solutions Ltd.,https://www.crunchbase.com/organization/hybrid-energy-storage-solutions-ltd,"Clean Energy, Energy, Energy Efficiency, Energy Management, Energy Storage, Power Grid, Renewable Energy, Software","La Rinconada, Andalucia, Spain","HESS Ltd. is a technological solution provider, a pioneer in creating hybrid energy storage solutions for the electrical grid ",750000,USD,750000,Series A,"70,298",1,https://linkedin.com/company/hybrid-energy-storage-solutions-ltd,https://hesstec.net,"Eduardo Cano, Khaled El-Sayed, Robert Fraser"
ABYA,https://www.crunchbase.com/organization/abya,"Media and Entertainment, Software","East Setauket, New York, United States",ABYA is a developer and provider technological components for the creation of graphic virtualization cloud-gaming solutions.,750000,USD,750000,Seed,"75,511",1,https://www.linkedin.com/company/abya/,https://www.abya.tech/,Franco Miceli
Hepta Airborne,https://www.crunchbase.com/organization/hepta-group-airborne-ltd,"Analytics, Artificial Intelligence, Autonomous Vehicles, Big Data, CleanTech, Drones, Predictive Analytics, Software, Software Engineering","Tallinn, Harjumaa, Estonia","Automating defect analysis for power lines. Bringing 3 dimensional world to everyone, everywhere.",650000,EUR,736936,Seed,"39,406",1,https://www.linkedin.com/company/hepta-group-energy,https://airborne.hepta.ee,Henri Klemmer
Rocos,https://www.crunchbase.com/organization/rocos,"Internet, Robotics, SaaS, Software","Auckland, Auckland, New Zealand","Rocos enables robotics companies to connect, monitor and control their robot fleets - globally",735000,USD,735000,Seed,"14,271",2,https://www.linkedin.com/company/rocos-the-robotic-cloud/about/,https://www.rocos.io,"David Inggs, Richard Stinear"
"Latium Technologies, Inc.",https://www.crunchbase.com/organization/the-latium-group-of-companies,"Artificial Intelligence, Information Technology, Logistics, Machine Learning, SaaS, Transportation","Nisku, Alberta, Canada","Industrial IoT, SaaS, Edge Computing, Artificial Intelligence",1000000,CAD,733874,Seed,"48,729",1,https://www.linkedin.com/company/27106212/,https://www.thelatiumgroup.com/,"Lori Pecorilli, Tony Pecorilli"
AIRPA,https://www.crunchbase.com/organization/airpa,"Robotics, SaaS, Software","London, England, United Kingdom",AIRPA offers a SaaS platform enabling businesses to automate their operations.,600000,GBP,727427,Seed,"42,090",1,https://ca.linkedin.com/company/airpa,http://airpa-research.com,Paul Boughtwood
Geospiza,https://www.crunchbase.com/organization/geospiza-55af,Software,"Denver, Colorado, United States",Geospiza is a tech start up that changes the way crisis and emergency management decision are made.,725000,USD,725000,Seed,"26,545",4,https://www.linkedin.com/company/geospiza-us/,https://geospiza.us,"Craig Kalick, Sarah Tuneberg"
Axeptia,https://www.crunchbase.com/organization/axeptia,"Financial Services, FinTech, Software","Oslo, Oslo, Norway",Axeptia provide expertise and a platform for effective management of your own credit and debt collection portfolio.,5500000,NOK,719740,Seed,"60,458",1,https://www.linkedin.com/company/axeptia-credit-intelligence-as/,https://axeptia.no,"Per Nestor Warp, Stian Bølskog Davidsen"
Oyster Tracker,https://www.crunchbase.com/organization/oyster-tracker,"AgTech, Aquaculture, SaaS, Software","Castine, Maine, United States",Oyster Tracker makes the aquaculture industry more profitable with a SAAS based farm management system.,718753,USD,718753,Seed,"48,518",1,https://linkedin.com/oystertracker,https://oystertracker.com,Chip Terry
Neutrino8,https://www.crunchbase.com/organization/neutrino8,"Artificial Intelligence, Hardware, Information Technology, Software","Santa Clara, California, United States","Neutrino8 is a stealth company that provides a data-driven, cloud-based platform to enable global, affordable internet connectivity.",700000,USD,700000,Seed,"33,975",1,,https://www.neutrino8.com/#,
Enroly,https://www.crunchbase.com/organization/enroly,"Education, Higher Education, Peer to Peer, SaaS","London, England, United Kingdom","International student recruitment, conversion and compliance automation software",700000,USD,700000,Seed,"36,440",3,https://www.linkedin.com/company/enroly,http://enroly.com,"Jeffrey Williams, Maynard Inkster"
Solve.is,https://www.crunchbase.com/organization/solve-smart-cities,"Consulting, Government, GovTech, Human Resources, Legal, PaaS, Recruiting, SaaS, Social Media","Chicago, Illinois, United States","We connect people in underserved communities to jobs, training programs and wraparound services to Solve all the barriers to employment.",700000,USD,700000,Seed,"39,285",1,https://www.linkedin.com/company/16164498/,https://solve.is,Matt Strauss
Plain Sight,https://www.crunchbase.com/organization/plain-sight,Software,"Detroit, Michigan, United States",Plain Sight is a mobile app that allows you to get familiar with the people and places in your local business community.,700000,USD,700000,Seed,"46,204",1,https://www.linkedin.com/company/plain-sight-app/,https://plainsight.app/,"Alex Johnston, Alexis Matteson, James Chapman"
Visably,https://www.crunchbase.com/organization/visably,"Marketing, SEO, Software","Jackson, Wyoming, United States","Visably Measures, Organizes, and Tracks Brand Visibility in Search.",700000,USD,700000,Seed,"53,467",1,https://www.linkedin.com/company/visably-seo/,https://visably.com/,Chris Dickey
KeepPet,https://www.crunchbase.com/organization/keeppet,"Health Care, Software","Los Angeles, California, United States","Digital pet passport, which stores all pet’s data and helps pet owners remotely communicate with veterinarians",700000,USD,700000,Seed,"61,062",1,https://www.linkedin.com/groups/13561266/,https://www.keep.pet/,"Nairi Akopian, Oleg Avanesov"
Roivenue,https://www.crunchbase.com/organization/roivenue,"Analytics, Big Data, Business Intelligence, Data Integration, Digital Marketing, Marketing, Marketing Automation, SaaS","Prague, Hlavni mesto Praha, Czech Republic",Roivenue is a marketing intelligence suite that enhances marketing ROI via data integration and data-driven marketing attribution.,600000,EUR,698072,Seed,"32,187",1,https://www.linkedin.com/company/roivenue/,https://www.roivenue.com,"Andrey Zotov, Martin Ptáček, Pavel Šíma, Tomáš Čeleda, ​Jan Hornych"
Amenitiz,https://www.crunchbase.com/organization/amenitiz,"E-Commerce, Internet, SaaS, Software","Barcelona, Catalonia, Spain",All-in-one platform for the hospitality industry.,620000,EUR,691355,Seed,"29,980",1,https://www.linkedin.com/company/amenitiz,https://www.amenitiz.io,"Alexandre Guinefolleau, Emmanuelle Guinefolleau, Frederic Cadet"
The MoonVision,https://www.crunchbase.com/organization/the-moonvision-gmbh,"Artificial Intelligence, Information Services, Information Technology, Software","Vienna, Wien, Austria",The MoonVision  is an efficient visual object recognition plattform for your business.,600000,EUR,686890,Series A,"53,192",4,https://www.linkedin.com/company/11420759/,https://moonvision.io/,"Alexander Hirner, Florian Bauer"
Scouta,https://www.crunchbase.com/organization/scouta-85cc,"Marketplace, Recruiting, Social Recruiting, Software","Sydney, New South Wales, Australia",Scouta is a talent referral marketplace for companies you'll want to work for.,1000000,AUD,676535,Seed,"26,680",2,https://linkedin.com/company/getscouta,https://getscouta.com,"David Smyth, Stuart Hunter"
Aprao,https://www.crunchbase.com/organization/appraised-cloud-based-real-estate-appraisal-tool,"Commercial Real Estate, Construction, Property Development, Real Estate, Real Estate Investment, SaaS, Software","London, England, United Kingdom",Aprao is a B2B SaaS company developing groundbreaking software for the real estate industury.,500000,GBP,675504,Seed,"30,024",1,https://www.linkedin.com/company/aprao/,http://aprao.com,"Daniel Norman, Jonathan Raoult"
GoGrow Technologies,https://www.crunchbase.com/organization/gogrow-technologies,"Apps, Software","Munith, Michigan, United States","Mobile App, Progressive Web App",675000,USD,675000,Seed,"53,110",1,,http://gogrowapp.com,
BibeCoffee,https://www.crunchbase.com/organization/bibecoffee,"Big Data, Coffee, Hardware, Internet of Things, Software","Athens, Attiki, Greece",BibeCoffee is an IoT real-time remote management and monitoring solution company.,600000,EUR,673499,Seed,"46,744",1,https://www.linkedin.com/company/19172258,http://bibecoffee.com/,"Kostas Sigalas, Panagiotis Vrettos, Vasilis Apostolopoulos"
Tracks,https://www.crunchbase.com/organization/tracks-fa20,"Artificial Intelligence, Automotive, Information Technology, Software, Transportation","Berlin, Berlin, Germany","We pioneer the road freight industry’s transformation towards greater efficiency, supply chain transparency and environmental sustainability",600000,EUR,672302,Seed,"22,198",2,https://www.linkedin.com/company/tracksfortrucks/,http://tracksfortrucks.com/,"Christian Kruse, Jakob Muus"
TapIn Mobile Solutions,https://www.crunchbase.com/organization/tapin-mobile-solutions,"SaaS, Software","Natick, Massachusetts, United States",TapIn Mobile Solutions offers an online platform that enables the self-management and organization of sports league.,660000,USD,660000,Seed,"47,392",1,https://www.linkedin.com/company/20152351,http://www.tapinmobilesolutions.com,"Pedro Herivaux, Steve Schechter"
Plyable,https://www.crunchbase.com/organization/mouldbox,"Artificial Intelligence, CAD, Computer Vision, Hardware, Industrial Automation, Machine Learning, Manufacturing, Marketplace, Software","Oxford, Oxfordshire, United Kingdom",Building the definitive global marketplace for composite tooling,500000,GBP,651992,Seed,"43,359",1,https://www.linkedin.com/company/plyable,https://www.plyable.com,"Adam England, Adam Lofts, Martin Oughton"
Cerve,https://www.crunchbase.com/organization/cerve,"B2B, Big Data, Food and Beverage, Hospitality, SaaS, Sales Automation, Software, Supply Chain Management, Wholesale, Wine And Spirits","Jönköping, Jonkopings Lan, Sweden",Sales automation for foodservice distributors.,640000,USD,640000,Seed,"42,776",1,https://www.linkedin.com/company/cerve,https://cerve.co,
Commissionly,https://www.crunchbase.com/organization/commissionly,"Sales, Small and Medium Businesses, Software","London, England, United Kingdom",Commissionly is the cloud based sales commission software focused solely on the small to medium business sector.,500000,GBP,637624,Seed,"44,004",1,https://www.linkedin.com/company/commissionly-io,https://www.commissionly.io,"Martin Baker, Patrick McCarthy"
Deeplite,https://www.crunchbase.com/organization/deeplite,"Artificial Intelligence, Computer Vision, Embedded Systems, Information Technology, Machine Learning, Software","Montréal, Quebec, Canada","Deeplite provides intelligent optimization software to make Deep Neural Networks faster, smaller and energy--efficient.",800000,CAD,620418,Seed,"24,706",1,https://www.linkedin.com/company/deeplite/,http://www.deeplite.ai,"Davis Sawyer, Ehsan Saboori, Nick Romano"
Aivero,https://www.crunchbase.com/organization/aivero,"3D Technology, Robotics, Software, Video Streaming","Stavanger, Rogaland, Norway","Aivero is an information technology company that specializes in the fields of machine vision, robotics, depth video, and 3D video streaming.",620000,USD,620000,Seed,"43,004",2,https://www.linkedin.com/company/aivero/,https://www.aivero.com/,Christian Rokseth
Voyage Mobile,https://www.crunchbase.com/organization/voyage-mobile,"E-Commerce, Mobile, Software","Los Angeles, California, United States","Voyage's automated text messaging platform enables brands to engage customers more effectively than email, offering up to 16x+ ROAS.",618000,USD,618000,Seed,"28,494",2,https://www.linkedin.com/company/voyage-mobile-inc/,http://www.voyagetext.com/,"Carter Gaffney, Corey Epstein"
Magic Office,https://www.crunchbase.com/organization/magic-office,Enterprise Software,"Issy-les-moulineaux, Ile-de-France, France",Magic Office is an office management software offering a web magazine intended to help with problems in office management.,500000,EUR,613542,Seed,"73,564",1,https://www.linkedin.com/company/magicoffice/,https://www.magicoffice.io,
NextRetreat,https://www.crunchbase.com/organization/wolfhouse,"B2B, Business Travel, Hospitality, SaaS, Travel, Travel Accommodations, Wellness","London, England, United Kingdom","Travel Booking site, designed for teams.",600000,USD,600000,Seed,"2,138",1,https://www.linkedin.com/company/nextretreat,https://NextRetreat.com,Martin Studencan
Inspektlabs,https://www.crunchbase.com/organization/inspektlabs,"Artificial Intelligence, Asset Management, Software","Delaware City, Delaware, United States",Inspektlabs is an Inspection-as-a-Service software company that automates inspections of physical items with photos and videos.,600000,USD,600000,Seed,"3,304",2,https://www.linkedin.com/company/inspektlabs/,https://www.inspektlabs.com/,Devesh Trivedi
ERUDIT AI,https://www.crunchbase.com/organization/erudit,"Artificial Intelligence, Human Resources, SaaS","Madrid, Madrid, Spain",ERUDIT AI is an AI-backed HR platform that helps businesses track employee needs to improve retention and their overall work environment.,600000,USD,600000,Seed,"14,611",4,https://www.linkedin.com/company/erudit-ai-tech/?viewAsMember=true,https://www.erudit.ai,"Alejandro Martinez Agenjo, Antonio Paramo, Ricardo Michel Reyes Martinez"
Muze,https://www.crunchbase.com/organization/muze-67eb,"Audio, Internet, Media and Entertainment, Mobile, Music, Social, Software, Video","Camden, Maine, United States",Muze enables anyone to add their own audio commentary to the always-on stream of internet video and share it with the world.,600000,USD,600000,Seed,"25,254",3,https://www.linkedin.com/company/muzetv/,https://muze.tv,Danny Quick
CircleIt,https://www.crunchbase.com/organization/circleit,"Consumer Software, Flowers, Gift, Software","Chicago, Illinois, United States","A smart time capsule allowing families to share & store cherished memories, candid stories, precious photos & gifts for future generations.",600000,USD,600000,Seed,"26,893",2,https://www.linkedin.com/company/circleitapp/,https://www.circleit.io/,"Art Shaikh, Rafi Sayyed"
SalesRight,https://www.crunchbase.com/organization/salesright,"B2B, Price Comparison, SaaS, Sales, Software","Halifax, Nova Scotia, Canada",SalesRight helps SaaS sales teams close deals faster through Interactive Live Quotes.,600000,USD,600000,Seed,"29,551",2,https://www.linkedin.com/company/salesright/,https://www.salesright.co,"Bill Wilson, Greg Toner, Taylor Bond"
Malomo,https://www.crunchbase.com/organization/malomo,"E-Commerce, Information Technology, SaaS","Indianapolis, Indiana, United States",Malomo Turns Shipment Tracking into a Powerful Marketing Channel for Ecommerce Brands,600000,USD,600000,Seed,"30,834",1,https://www.linkedin.com/company/malomo,http://gomalomo.com,Yaw Aning
InAccel,https://www.crunchbase.com/organization/inaccel,"Cloud Computing, Field-Programmable Gate Array (FPGA), Machine Learning, Software","Athens, Attiki, Greece",InAccel provides high performance accelerators for Machine Learning & Analytics applications based on novel FPGA engines as IP blocks,600000,USD,600000,Seed,"36,930",1,https://www.linkedin.com/company/inaccel/,https://www.inaccel.com/,"Christoforos Kachris, Elias Koromilas, Ioannis Stamelos"
IOOGO Inc,https://www.crunchbase.com/organization/ioogo,"Accounting, Financial Services, FinTech, Information Technology, Mobile Apps, Software","Dallas, Texas, United States","IOOGO is a computer software company that specializes in software development, mobile software, and web solutions.",600000,USD,600000,Seed,"37,808",1,https://www.linkedin.com/company/27116461,https://www.ioogo.com/,"Josh Alballero, Kristy Campbell, Val Osipenko"
RelayiQ,https://www.crunchbase.com/organization/winnow-analytics,"Information Technology, SaaS, Software","Austin, Texas, United States",SaaS Solution to deliver insights from data that are prescriptive and measurable.  Solves the last mile problem with current BI solutions.,600000,USD,600000,Seed,"38,319",1,https://www.linkedin.com/company/relayiq,https://www.relayiq.com,"Anthony Chamberas, Brian Borack"
Vispa,https://www.crunchbase.com/organization/vispa,"Health Care, Software","Winston Salem, North Carolina, United States",Vispa is a healthcare workflow development company helping companies sort through the complexity of the healthcare revenue cycle.,600000,USD,600000,Seed,"54,235",1,https://www.linkedin.com/company/vispa-flow,https://vispaflow.com/,Geneva Schlabach
Echo State,https://www.crunchbase.com/organization/echo-state,"Analytics, Artificial Intelligence, Cloud Computing, Consulting, Information Technology, Machine Learning, Software","Stockholm, Stockholms Lan, Sweden","Echo State specializes in data science, data translation, and data engineering.",600000,USD,600000,Seed,"59,193",1,https://www.linkedin.com/company/echostate,https://echostate.se,"Erik Dahl, Josef Falk"
Smart Eye Technology,https://www.crunchbase.com/organization/smart-eye-technology,"Computer, Information Technology, Software","Atlanta, Georgia, United States",Smart Eye Technology is a document privacy company that uses biometrics to open documents.,600000,USD,600000,Seed,"67,407",1,,http://www.getsmateye.com,
BOS Technology,https://www.crunchbase.com/organization/bos-technology,Software,"Orlando, Florida, United States",BOS Technology is a software company specializing in building optimization with the use of the Internet of Things.,600000,USD,600000,Seed,"80,743",1,https://www.linkedin.com/company/bostechusa,https://www.bostechusa.com,"Billy Stewart, John Lepak, Mike Wisniewski"
Reloyalty,https://www.crunchbase.com/organization/reloyalty,"Enterprise Software, FinTech, Mobile Apps, Small and Medium Businesses","London, England, United Kingdom","Reloyalty turns any bank card in Europe into a personalized loyalty card, leveraging Open Banking / PSD2.",530000,EUR,597816,Seed,"34,451",3,https://www.linkedin.com/company/reloyalty,http://reloyalty.com/,Ivo Vasilev
Igloo Co,https://www.crunchbase.com/organization/igloo-co,Software,"Brisbane, Queensland, Australia",Smart contract platform on blockchain,855000,AUD,593543,Seed,"41,914",2,,http://www.igloo.property,Jeremy Hastings
GeoSpark,https://www.crunchbase.com/organization/geospark,"Artificial Intelligence, Location Based Services, Machine Learning, Software","Amsterdam, Noord-Holland, The Netherlands",Location Tracking and Intelligence Platform,500000,EUR,587825,Seed,"26,376",2,https://www.linkedin.com/company/13430212/,https://geospark.co,"Jothi Priyadharshan, Manoj Adithya"
ZolTrain,https://www.crunchbase.com/organization/zoltrain,"Cannabis, E-Learning, Software","Denver, Colorado, United States",ZolTrain is a provider of budtender training platform created to help gain the knowledge needed to sell cannabis products.,582951,USD,582951,Seed,"50,731",1,https://www.linkedin.com/company/zoltrain,https://zoltrain.com,"Danny Gold, Jan Cole"
Hunit,https://www.crunchbase.com/organization/hunit,"Blockchain, FinTech, Information Technology, Legal Tech, SaaS","London, England, United Kingdom",SaaS for legal professionals to use smart contracts and blockchain,500000,EUR,581202,Seed,"51,978",1,https://www.linkedin.com/company/hunit,https://www.hunit.com,"Aaron Powers, Jan Christian Berger"
ilvi GmbH,https://www.crunchbase.com/organization/ilvi-gmbh,"Health Care, Information Technology, Medical Device, mHealth, Software","Gleisdorf, Steiermark, Austria",mobile SW platform to support clinical workflows,500000,EUR,579154,Seed,"63,538",1,https://www.linkedin.com/company/ilvi/,http://www.ilvi.eu,"Christoph Kauer, Erwin Berger"
Zenerchi,https://www.crunchbase.com/organization/zenerchi,"Artificial Intelligence, Biotechnology, Computer, Life Science, Software","Sandy, Utah, United States",Zenerchi is a life extension and biomedical simulation and visualization AI company,575000,USD,575000,Seed,"21,383",2,https://in.linkedin.com/company/zenerchi-llc,http://www.simviz.ai/,Bryan Brandenburg
RIVN,https://www.crunchbase.com/organization/rivn,"Information Technology, SaaS, Software","Salt Lake City, Utah, United States",RIVN is SaaS solution that allows companies quickly scale consumer deletion functionality for new regulations such as GDPR and CCPA.,575000,USD,575000,Seed,"26,148",1,https://www.linkedin.com/company/rivnco/,https://www.rivn.com/,"Dereck Hatcher, Glen Horsley, Jer Tippets, Keri Anderson"
Aequicens,https://www.crunchbase.com/organization/aequicens,"Artificial Intelligence, Data Mining, Information Technology, Machine Learning, Neuroscience, Predictive Analytics, Social Media Marketing, Software","Geneva, Geneve, Switzerland",Artificial Intelligence and Machine Learning Research Lab,500000,EUR,572408,Seed,"57,834",2,https://www.linkedin.com/company/aequicens/,https://www.aequicens.com,Shady A.Razek
Airtonomy,https://www.crunchbase.com/organization/airtonomy,"Computer, Robotics, Software","Grand Forks, North Dakota, United States",Airtonomy is a startup that’s partnering with the University of North Dakota Aerospace Foundation.,570000,USD,570000,Seed,"39,401",2,,https://www.airtonomy.ai/,Joshua Riedy
Apla,https://www.crunchbase.com/organization/apla,"Blockchain, Industrial Automation, Information Technology, Innovation Management, Software","Luxembourg, Luxembourg, Luxembourg","A tech company that uses distributed ledger technology to help organisations work faster, safer and with greater impact.",560000,USD,560000,Seed,"45,798",1,http://www.linkedin.com/company/13579279/,http://www.apla.io,"Alexander Boldachev, Oleg Strelenko"
NodMD,https://www.crunchbase.com/organization/nodmd,"Health Care, Software","Phoenix, Arizona, United States",Telemedicine SaaS video and clinical pathway platform designed by a specialist for specialty physicians,560000,USD,560000,Seed,"49,297",1,https://www.facebook.com/nodspecialists/,http://nodmd.com,"Brandi Conner, Madhu Murthy, MD, Vikram Basappa"
Linear,https://www.crunchbase.com/organization/linear-04fe,"Information Services, Information Technology, Real Estate, Software","Helsinki, Southern Finland, Finland",Linear offers a technology that provides services that guarantee maximum efficiency and unique customer experiences.,500000,EUR,559672,Seed,"84,241",1,https://www.linkedin.com/company/linearoy/,https://www.linear.fi/en,"Aki Kujala, Alex Silvennoinen, Miro Eriksson"
Symflower,https://www.crunchbase.com/organization/symflower,"Developer Tools, Software","Linz, Oberosterreich, Austria",Symflower helps companies all over the world test their computer source code in a fully automated way.,500000,EUR,557786,Seed,"59,307",1,https://www.linkedin.com/company/symflower,https://symflower.com,"Evelyn Haslinger, Markus Zimmermann"
MNM Diagnostics,https://www.crunchbase.com/organization/mnm-diagnostics,"Artificial Intelligence, Biotechnology, Genetics, Health Diagnostics, Software","Poznan, Wielkopolskie, Poland",Welcome to the future of personalized diagnostics.,500000,EUR,554256,Seed,"37,363",2,https://www.linkedin.com/company/mnmdiagnostics,https://mnm.bio,Pawel Zawadzki
"StreetMetrics, INC.",https://www.crunchbase.com/organization/streetmetrics,"Advertising, Marketing, Mobile, Ride Sharing, Software, Transportation","Birmingham, Alabama, United States","StreetMetrics is a SaaS platform, focused on creating measurement & attribution software for the Moving Out-Of-Home advertising industry.",550000,USD,550000,Seed,"46,198",2,https://www.linkedin.com/company/streetmetrics/,https://streetmetrics.io/,Drew Jackson
PlatformaVR,https://www.crunchbase.com/organization/platformavr,"Digital Entertainment, PC Games, Software, Virtual Reality, Virtual World","Moscow, Moscow City, Russian Federation","PlatformaVR specializes in the fields of virtual reality, entertainment, location-based entertainment.",550000,USD,550000,Seed,"82,869",1,https://www.linkedin.com/company/platformavr,https://www.platformavr.com,"Anton Ulishchenko, Ilya Kuzyuk"
Terminal.global,https://www.crunchbase.com/organization/terminal-global,"Bitcoin, Cryptocurrency, Ethereum, Financial Exchanges, Software","Moscow, Moscow City, Russian Federation",Building the 'bloomberg' of crypto,550000,USD,550000,Seed,"90,449",1,,https://www.terminal.global,
Arengu,https://www.crunchbase.com/organization/arengu,Software,"A Coruña, Galicia, Spain",Low-code platform to easily sign up and onboard users,500000,EUR,545924,Seed,"32,662",2,https://www.linkedin.com/company/arengu/,https://www.arengu.com,"Jacobo Vidal Abeigón, Pablo Castro, Sergio Regueira"
Loctio,https://www.crunchbase.com/organization/loctio,"Information Technology, Software","Aegaleo, Attiki, Greece",A Locations as a Service (Laas) technology provider willing to democratize precise location capabilities for IoT devices,500000,EUR,532758,Seed,"51,141",1,https://www.linkedin.com/company/loctio/,http://www.loctio.com,Lazaros Kapsias
Underline (BookVitals),https://www.crunchbase.com/organization/bookvitals,"Internet, Software","Bucharest, Bucuresti, Romania",We help people remember what they read and share those ideas with the world.,475000,EUR,528953,Seed,"61,024",1,,http://bookvitals.com/,Balasa Laurentiu-Victor
BetaBlocks Company,https://www.crunchbase.com/organization/betablocks,"Blockchain, Enterprise Software, Information Technology","Miami, Florida, United States",BetaBlocks is a Co-Builder and Accelerator of early-stage blockchain technology companies.,525000,USD,525000,Seed,"57,910",1,https://www.linkedin.com/company/betablocks/,https://betablocks.co,"Antonio Manueco, Roberto Machado"
Livemote,https://www.crunchbase.com/organization/livemote,"Augmented Reality, Field Support, Industrial Automation, SaaS","Arezzo, Toscana, Italy",Livemote is a next gen Field Service Management Software that helps Companies to improve operations efficiency by empowering field operators,445000,EUR,518981,Seed,"57,348",2,https://www.linkedin.com/company/livemote/,http://www.livemote.com,"Corrado Tirassa, Francesco Gallorini, Francesco Marcantoni, Gabriele Maidecchi, Marcello Comanducci"
Edokonta,https://www.crunchbase.com/organization/edokonta,"Information Services, Information Technology, Software","San Diego, California, United States","Edokonta builds software that allows hospitals to track mobile equipment, such as IV pumps and ultrasounds.",511531,USD,511531,Seed,"100,846",1,,http://www.edokonta.com/,
