Organization Name,Organization Name URL,Industries,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,CB Rank (Company),Number of Funding Rounds,LinkedIn,Website,Founders,Estimated Revenue Range,Trend Score (90 Days),Top 5 Investors,Headquarters Location,Investment Stage
Wattage,https://www.crunchbase.com/organization/wattage,"3D Printing, Consumer Electronics, E-Commerce, Hardware, Software",An online platform that makes creating hardware easy.,200000,USD,200000,Seed,"93,313",1,,http://www.wattage.io/,"Brett Hagman, Jeremy Bell, Peter Nitsch",,0.4,,"Toronto, Ontario, Canada",
Sonation,https://www.crunchbase.com/organization/sonation-apps,"Music, Professional Services, Software",Sonation apps make singing and playing music more fun and interactive.,25000,USD,25000,Seed,"93,542",2,,http://www.sonation.net,"Ann Chao, Christopher Raphael, Paul Henry Smith",,-0.3,"MassChallenge, Boston Syndicates (BOSS), Maine Angels","Boston, Massachusetts, United States",
Galileo Inc.,https://www.crunchbase.com/organization/galileo-inc-,"Drones, Enterprise Software, Software","The Galileo Alpha is the first smart drone designed to protect your home, property, and business. GalileoUSA.com",5600,USD,5600,Seed,"93,943",1,https://www.linkedin.com/company/galileo-inc-?trk=top_nav_home,http://galileousa.com,"Benjamin Quartey, Christopher Bannister, Joshua Sanabria, Rodney Allen",Less than $1M,-0.1,,"Loma Linda, California, United States",
Upshift,https://www.crunchbase.com/organization/upshift-0f2a,"Data Center Automation, Finance, Mobile Apps, SaaS","Build your freelance business reach with integrated work platforms, tools, reports, with a location based gig market to add work and grow.",30000,USD,30000,Seed,"94,278",1,,http://upshift-app.com,Robert Schachte,,-0.2,,"Fort Collins, Colorado, United States",
OSIA Medical,https://www.crunchbase.com/organization/osia-medical,"Enterprise Software, Health Care, Medical, Software","OSIA Medical is company created by asthma sufferers, respiratory specialists, and software experts.",275445,USD,275445,Seed,"95,205",1,https://www.linkedin.com/company/osia-medical,http://osiamedical.com/,"Josh Dees, Rich Hendershot, Rob Reynolds",,-0.1,,"Sandy, Utah, United States",
Sonic Payments,https://www.crunchbase.com/organization/sonic-payments,"Payments, Real Estate, SaaS",Sonic Payments develops future-proof payment solutions that power high-volume aggregators and SaaS platforms.,250000,USD,250000,Seed,"95,256",1,https://www.linkedin.com/company/sonic-payments,https://sonicpayments.com,"Chris Cashwell, Timothy Montgomery",Less than $1M,-0.1,,"Asheville, North Carolina, United States",
Symbol Inc,https://www.crunchbase.com/organization/symbol-inc,"Artificial Intelligence, CRM, Information Technology, Software",Creating A Modern World Using Innovative Technology,1000,USD,1000,Pre-Seed,"96,517",1,,https://www.symbolinc.page/,Milan Cheeks,,-0.3,,"Southampton, New York, United States",
eSportics,https://www.crunchbase.com/organization/esportics,"SaaS, Social Media, Software, Sports","eSportics is a software to organise, manage and promote sport tournaments, combined with social network.",100000,EUR,111135,Seed,"96,584",4,,http://www.esportics.com,"Quim Granados, Vanessa Palmer",,0,"Conector Startup Accelerator, Sitka Capital, Draper B1, Grupo ItNet, Making Ideas Business","Valencia, Comunidad Valenciana, Spain",
Dolla Technologies Group Ltd.,https://www.crunchbase.com/organization/dolla,"Financial Services, Software",Developing the first OS for basic financial services.,25000,USD,25000,Pre-Seed,"96,902",1,,,Mark Poderis,,-0.4,,"Doylestown, Pennsylvania, United States",
Jimi,https://www.crunchbase.com/organization/jimifitness,"Apps, B2B, Fitness, Marketplace, Software",Jimi is a business app made for freelance trainers and independant gym studios.,104000,USD,104000,Seed,"98,139",2,https://www.linkedin.com/company/jimifitness,https://getjimi.com/,"Jude Cale, Nabil Mseddi",$1M to $10M,-0.3,"Deepak Madnani, Stephen Po, Jeffrey Broer, Barry Lau, Wayne Gray","Genève, Geneve, Switzerland",
WMVAI,https://www.crunchbase.com/organization/wmvai,"Information Technology, Internet, Software","Create custom voice solutions for Amazon Alexa, Google Home / Assistant, Microsoft Cortana, Apple Siri and Samsung Bixby.",100000,USD,100000,Seed,"98,233",1,https://www.linkedin.com/company/wmvai/,https://wmv.ai/,"Ian Utile, Ryan Opfer",,-0.4,Reflective Venture Partners,"Redding, California, United States",
Don't Panic Consulting,https://www.crunchbase.com/organization/don-t-panic-consulting,"Digital Marketing, Information Technology, Mobile Apps, Software, Web Apps, Web Development",Don't Panic Consulting is a software development firm providing software development and consultancy services.,400000,USD,400000,Seed,"98,468",1,https://www.linkedin.com/company/dontpanicllc/,http://dontpanic.consulting,"Justin D, Richard Hooper",,-0.3,,"Lewiston, Maine, United States",
Ulytic,https://www.crunchbase.com/organization/ulytic,"Information Services, Information Technology, Software, Video",Ulytic is an on-demand traffic counting service.,50000,USD,50000,Seed,"100,570",1,https://www.linkedin.com/company-beta/10056883,http://ulytic.com,,Less than $1M,-0.1,,"Omaha, Nebraska, United States",
GD Analytics,https://www.crunchbase.com/organization/gupta-daniel,"Analytics, Cannabis, Marketing, SaaS",Marketing & analytics SaaS provider for cannabis dispensaries.,25000,USD,25000,Seed,"101,080",1,https://www.linkedin.com/company/gupta-&-daniel/,http://www.guptadaniel.com,"Benjamin Daniel, Prateek Gupta",,2,"CanopyBoulder, Prateek Gupta","Berkeley, California, United States",
Shelf Scouter,https://www.crunchbase.com/organization/shelf-scouter,"Innovation Management, Online Portals, Personalization, Software",FairTech Labs provides an online solution for personalized household inventory management.,,,,Seed,"101,097",2,https://www.linkedin.com/company-beta/9380564,http://www.shelfscouter.com/,Lindsay Fairman,Less than $1M,-0.1,Ben Franklin Technology Partners of Central and Northern Pennsylvania,"State College, Pennsylvania, United States",
InApp Pro,https://www.crunchbase.com/organization/inapp-pro,"Enterprise Software, Professional Services, SaaS, Software",InApp Pro is a new on-demand professional services platform that makes it easy for businesses to Book and Work with software consultants.,2012000,USD,2012000,Seed,"101,400",1,,http://inapppro.com/,Jeffrey Leventhal,,-0.1,Boldstart Ventures,"Huntington, New York, United States",
QuBowl,https://www.crunchbase.com/organization/qubowl,"Analytics, Education, SaaS",We take the hassle out of coaching quiz bowl,100000,USD,100000,Seed,"102,173",1,https://www.linkedin.com/company/qubowl,http://www.qubowl.com,"Blake Puryear, John James, Will Gilbrech",Less than $1M,-0.5,Hayseed Ventures,"Fayetteville, Arkansas, United States",
Locye,https://www.crunchbase.com/organization/locye,"Computer, Real Time, Software",Interact with those sharing a common experience near you.,150000,USD,150000,Seed,"102,510",3,https://www.linkedin.com/company/6590356/,https://www.locye.com,"Matthew Bechdol, Sajjad Mustehsan, Zainub Mustehsan",,-0.3,,"Empire, California, United States",
Kernl,https://www.crunchbase.com/organization/kernl-2,"Photo Sharing, Social, Software, Video",A fun and powerful social economy.,200000,USD,200000,Seed,"102,602",1,https://www.linkedin.com/company/kernl/,http://www.getkernl.com,Joshua Manns,,0,,"Oakland, California, United States",
BattleGuru,https://www.crunchbase.com/organization/battleguru,"Artificial Intelligence, Big Data, eSports, Machine Learning, SaaS, Software",BattleGuru is an eSports company that offers AI-based services and products to the B2B2C markets.,10000,USD,10000,Pre-Seed,"105,541",1,https://www.linkedin.com/company/battle-guru/,https://battle.guru,Vladislav Romanovsky,,-0.3,,"Newark, Delaware, United States",
Vessix,https://www.crunchbase.com/organization/vessix,"CRM, Enterprise Software, Information Technology, Software","Vessix developed technology for consolidating POS, CRM and reporting.",1000000,USD,1000000,Seed,"106,565",2,https://www.linkedin.com/company/vessix,http://www.vessix.com,Chris Bridges,,-0.4,,"Denver, Colorado, United States",
Chroma Labs,https://www.crunchbase.com/organization/chroma-labs,"Apps, E-Commerce, Information Technology, Internet, Social Media Advertising, Social Media Management, Social Media Marketing, Software",Chroma Labs engages in the retail sale of specialized lines of merchandise.,,,,Seed,"107,432",1,https://www.linkedin.com/company/chromalabs,http://www.ChromaLabs.com,"Alex Li, John Barnett, Joshua Harris",,-0.4,Sweet Capital,"San Mateo, California, United States",
CoPilot Systems,https://www.crunchbase.com/organization/copilot-systems,"Apps, Education, SaaS","CoPilot is a powerful tool, designed for college students, that significantly improves course completion and graduation rates.",540000,USD,540000,Seed,"107,515",1,https://www.linkedin.com/company/copilot-systems,http://www.copilotsystems.com/,"Carolyn Carpeneti, Kate Purmal",,-0.4,,"San Francisco, California, United States",
Bink! Inc.,https://www.crunchbase.com/organization/bink--inc-,"Analytics, Big Data, Brand Marketing, Image Recognition, Mobile, Mobile Advertising, Outdoor Advertising, SaaS",An image recognition mobile game where player scan logos around them generating unique data about where brands are seen in the real world.,105000,USD,105000,Seed,"107,534",1,https://www.linkedin.com/company/binkworld,http://www.thebinkworld.com,"Mikhail Ivanov, Slava Chernikoff, Thomas Speckman, Yury Akinin",,0.3,,"San Francisco, California, United States",
JumpSeat,https://www.crunchbase.com/organization/jumpseat,"Internet, Software","JumpSeat is a company based out of Hingham, MA, United States.",140000,USD,140000,Seed,"108,104",1,http://www.linkedin.com/company/2707428,http://jumpseat.me,,$1M to $10M,0,,"Hingham, Massachusetts, United States",
Kontena,https://www.crunchbase.com/organization/kontena,"Cloud Infrastructure, Information Technology, Software","Kontena provides the most easy-to-use, fully integrated solutions for DevOps to deploy, run, monitor and operate containers on the cloud.",,,,Seed,"108,852",2,https://www.linkedin.com/company/kontena,http://www.kontena.io,"Jari Kolehmainen, Lauri Nevala, Miska Kaipiainen, Sami Ahvenniemi",Less than $1M,-0.2,"Lifeline Ventures, InReach Ventures","New York, New York, United States",
Patchwork Security,https://www.crunchbase.com/organization/patchwork-security,"Cyber Security, Network Security, Security, Software",Patchwork Security Personalized notifications for Open Source Vulnerabilities.,120000,USD,120000,Seed,"109,455",1,https://www.linkedin.com/company/6609076,https://patchworksecurity.com/,,,-0.4,Y Combinator,"Oakland, California, United States",
Hyperloop Data,https://www.crunchbase.com/organization/hyperloop-data,"Analytics, Big Data, Cloud Data Services, Data Integration, Data Visualization, Enterprise Software, SaaS, Software",Hyperloop Data provides proprietary data transmission technology for enterprise solutions.,35000,USD,35000,Seed,"110,204",1,,http://hyperloopdata.com,,,-0.3,"Contura Investments, LLC","Waterloo, Ontario, Canada",
Bolzter,https://www.crunchbase.com/organization/volvant,"Advertising Platforms, Analytics, Lead Generation, SaaS",Bolzter is a social marketing platform that creates a social graph for each lead by tracking leads connections.,200000,USD,200000,Seed,"110,316",1,http://www.linkedin.com/company/bolzter,http://www.bolzter.com,Jorge Rodriguez,,-0.3,,"Miami, Florida, United States",
Coyno,https://www.crunchbase.com/organization/coyno,"Accounting, Bitcoin, FinTech, Software",The Bitcoin Bookkeeper. Bookkeeping software-as-a-service for Bitcoin.,2500,EUR,3115,Seed,"110,888",1,,http://www.coyno.com,"Erasmus Hagen, Levin Keller",,0,Axel Springer Plug and Play Accelerator,"Berlin, Berlin, Germany",
"OA Digital, Inc",https://www.crunchbase.com/organization/oa,"Commercial Real Estate, Human Resources, Productivity Tools, Smart Building, Software",We are on a mission to give your employees up-to 10% more highly productive time every day.,100000,EUR,125108,Seed,"112,120",1,,http://oa.digital,"Dimitar (mitko) Vasilev, Samuel Billot, Shabaz Yousaf",,0,"Dimitar (mitko) Vasilev, Samuel Billot","Wilmington, Delaware, United States",
"LinkGear Foundation, LLC",https://www.crunchbase.com/organization/linkgear-foundation,"Blockchain, Consulting, FinTech, Information Technology, Software",LinkGear is a decentralized multi-blockchain system designed to support all peer-to-peer digital economic activities.,50000,USD,50000,Seed,"112,900",1,https://www.linkedin.com/company/linkgear/,https://ixinhub.co,,,-0.2,,"Rockville, Maryland, United States",
DivorceSecure,https://www.crunchbase.com/organization/divorcesecure,"Consulting, Internet, Legal, SaaS",DivorceSecure allows divorce attorneys to streamline the intake process and increase their capacity to serve more clients.,25000,USD,25000,Seed,"113,132",1,,http://www.divorcesecure.com,"Hirsch Serman, Noam Davidovics",,1.3,Innova Memphis,"Memphis, Tennessee, United States",
E-Logs Technology,https://www.crunchbase.com/organization/e-logs-technology,"Environmental Engineering, Information Technology, Logistics, Software, Transportation",Electronic Logging Device - Meets Final Rule.,112000,USD,112000,Seed,"113,241",1,,http://elogstech.com/,Joel Ledesma,,-0.3,,"Riverside, California, United States",
Triggertrap,https://www.crunchbase.com/organization/triggertrap,"Android, Hardware, iOS, Mobile, Photography, Software",Triggertrap creates a variety of intelligent and creative camera triggering products,,,,Series A,"113,596",3,http://www.linkedin.com/company/triggertrap,http://triggertrap.com,Haje Jan Kamps,,-0.1,"Microsoft Accelerator, Microsoft Accelerator London","London, England, United Kingdom",
StoreGecko Limited,https://www.crunchbase.com/organization/storegecko-limited,"E-Commerce, Information Services, SaaS",StoreGecko offers product information management solutions for small and businesses as well as online stores.,15000,EUR,17065,Seed,"116,519",2,http://www.linkedin.com/company/storegecko,http://www.storegecko.com,Jan Andersen,,-0.3,"Startupbootcamp, Startupbootcamp Commerce Amsterdam","London, England, United Kingdom",
OiOIoT,https://www.crunchbase.com/organization/oioiot,"Cyber Security, Energy, Hardware, Smart Home, Software",Smart iOT solutions for connected community projects through patented highly secure bi-directional communication.,25000,USD,25000,Seed,"117,886",1,,http://www.oioiot.com/,"Matsu Thornton, Reza Ghorbani",,-0.1,XLR8UH,"Honolulu, Hawaii, United States",
Sourcingtextiles.com,https://www.crunchbase.com/organization/sourcingtextiles-com,"B2B, Cloud Computing, E-Commerce, Fashion, Information Technology, Internet, Textiles","Sourcingtextiles.com is a cloud-based B2B platform for a secure, intelligent, and global procurement of textiles and clothing.",100000,EUR,113829,Seed,"118,077",1,,https://www.sourcingtextiles.com/,,,-0.5,,"Northbrook, Illinois, United States",
Insurspace,https://www.crunchbase.com/organization/insurspace,"Reputation, SEO, Software",Insurspace is online reputation management firm with tools and services to enhance how business professionals are perceived online.,75000,USD,75000,Seed,"118,237",1,http://www.linkedin.com/company/insurspace,http://www.insurspace.com,,,0,,"Gaithersburg, Maryland, United States",
4wrdtech,https://www.crunchbase.com/organization/4wrdtech,"Apps, Computer, Information Technology, Software","Tickle the kid inside all of us, we dabble in gaming apps. Also working on new ways to compress Data",80000,USD,80000,Seed,"118,628",1,,https://4wrdtech.com,"Corey Paris, Regginald Gonzalez, Shawn Taikratoke",,-0.3,,"Austin, Texas, United States",
"Spectator Sports, Inc.",https://www.crunchbase.com/organization/spectatorapp,"Mobile, Software, Sports","Spectator Sports, Inc. offers a tool for booster clubs to streamline the membership process and accept online donations.",20000,USD,20000,Seed,"118,857",1,https://www.linkedin.com/company/spectator-llc-,http://www.teamspectator.com,"Brandon Kiefer, Jon Myers",,0,"Invest Nebraska, NMotion","Edmond, Oklahoma, United States",
Amarant Education,https://www.crunchbase.com/organization/amarant-education,"E-Learning, Education, Music Education, Software",Music Education Technology Startup,150000,USD,150000,Seed,"119,285",1,https://www.linkedin.com/company/amaranteducation/,http://www.amaranteducation.com,Brenden Matthews,Less than $1M,-0.2,,"Cedar Park, Texas, United States",
DWC,https://www.crunchbase.com/organization/dwc,"Consulting, Information Technology, Software",DWC provides solutions that address financial services clients’ complex and dynamic business needs.,500241,USD,500241,Seed,"119,386",1,https://www.linkedin.com/company/david-widerhorn-consulting-llc/about/,http://www.davidwiderhorn.com,David Widerhorn,,0.3,,"Chicago, Illinois, United States",
Budzz,https://www.crunchbase.com/organization/budzz,"Agriculture, AgTech, Cannabis, Farming, Information Technology, Mobile Apps, Software, Web Apps",Budzz supplies a multi-platform application to provide safe and credible transactions.,1000,USD,1000,Seed,"120,046",1,https://www.linkedin.com/company/budzz-io/,https://budzz.io,Alexander Peri,,1.4,,"Santa Cruz, California, United States",
Divvi,https://www.crunchbase.com/organization/divvi-dacd,"Apps, Content, Digital Media, Legal, Software",Divvi is an online platform and app that facilitates uncontested divorces from start to finish. ,,,,Seed,"120,623",2,https://www.linkedin.com/company/getadivvi/,https://www.getadivvi.com/,Sarah Stinson,,-0.3,"Boomtown Accelerators, Right Side Capital Management","Bozeman, Montana, United States",
Paperplane,https://www.crunchbase.com/organization/paperplane,"Apps, Software",Paperplane is an intuitive travel planning app that allows you to plan a trip with just a few simple taps.,20000,USD,20000,Seed,"121,297",1,,http://www.travelpaperplane.com/,,,-0.4,"Blue Startups, autoXLR8R","Honolulu, Hawaii, United States",
DataFlyte,https://www.crunchbase.com/organization/dataflyte,"Aerospace, Energy, Software",DataFlyte™’s proprietary equipment reads and processes data from AMR-style meters from the air and delivers that data back to your utility,,,,Seed,"121,908",2,https://www.linkedin.com/company/dataflyte-inc,http://dataflyte.us/,Daniel Morse,,-0.1,Blank Slate Ventures,"Knoxville, Tennessee, United States",
TrustaFact,https://www.crunchbase.com/organization/trustafact,"Information Services, Information Technology, Internet, Software",TrustaFact helps you determine how trustworthy any website is with your money and personal information.,200000,USD,200000,Seed,"125,356",1,https://www.linkedin.com/company/4787503,http://trustafact.com,Bryan Lovgren,$1M to $10M,-0.2,Roundsquare Ventures,"Phoenix, Arizona, United States",
TableTime,https://www.crunchbase.com/organization/tabletime,"Analytics, B2B, Food and Beverage, Information Technology, NFC, Restaurants, SaaS, Software",TableTime is a B2B SaaS startup. We provide the foremost data collection and reporting platform for the restaurant industry.,10000,USD,10000,Seed,"125,451",1,,http://www.tabletimenyc.com,"Cecil Worsley IV, Pete D'Abrosca",,-0.4,,"Santa Cruz, California, United States",
CollegeConnect,https://www.crunchbase.com/organization/collegeconnect,Software,"A white-label student marketplace for US campuses. Allows students to i) rent things out, ii) sell to one another, and iii) offer services",250000,GBP,322162,Seed,"136,958",1,,https://collegeconnect.cc,"Antonio Ribeiro, James Steyn, Joe Richardson",,-0.4,,"London, England, United Kingdom",
Real Time Objects,https://www.crunchbase.com/organization/real-time-objects,"Computer, Real Time, Software",Real Time Objects is a consulting and training services as well as assisting in product development company.,16665,GBP,25296,Seed,"141,998",1,https://www.linkedin.com/company-beta/457931,http://www.realtimeobjects.com,,,1.3,"Seedrs, Collider","Brookfield, Wisconsin, United States",
iVocate,https://www.crunchbase.com/organization/ivocate-2,"Government, Politics, SaaS","iVocate is a government affairs company that uses data to match like-minded organizations, manage coalitions, and optimize advocacy.",75000,USD,75000,Seed,"143,659",1,,http://www.ivocateapp.com,"Josh Skipworth, Shari Shapiro",,-0.6,,"Des Moines, Iowa, United States",
ET Discovery,https://www.crunchbase.com/organization/et-discovery,"Education, Human Resources, Information Technology, Recruiting, Software","At ET Discovery, we provide a powerful virtual environment that allows recruiters and universities to host their own virtual fair.",25000,GBP,39089,Seed,"145,560",1,,http://etdiscovery.com/,,,-0.2,,"London, England, United Kingdom",
Pickin',https://www.crunchbase.com/organization/pickin,"Advertising, Information Technology, Internet, Software",Softwares and Social media app rethinking the way users react to content. Allowing comparison among and within several types of media.,100000,USD,100000,Seed,"146,316",4,https://www.linkedin.com/company/pickin-app,,"Alessandro Voltolini, Kamil Jamka",,-0.5,,"Milan, Lombardia, Italy",
Besst,https://www.crunchbase.com/organization/better-bet-llc,"Apps, Communities, Mobile Apps, Social Media, Software",A platform for people to compete with their friends wagering social media incentives.,,,,Pre-Seed,"147,977",1,https://www.linkedin.com/company/BesstApp/,https://www.besst.io/,Spencer Gordon - Sand,,1.7,,"Chicago, Illinois, United States",
"PointResponse, Inc",https://www.crunchbase.com/organization/pointresponse-ltd-co,"Apps, Cloud Computing, Law Enforcement, Logistics, Mobile, Scheduling, Software",PointResponse is a command system that allows collaborative emergency and incident management from any mobile device.,65000,USD,65000,Seed,"148,405",1,https://linkedin.com/company/pointresponse,https://pointresponse.com,"Trevor Pierce, Trey Frankovich",Less than $1M,-0.7,,"League City, Texas, United States",
Chibwe,https://www.crunchbase.com/organization/chibwe,"Analytics, Computer, Software",Chibwe combines pre-built software components to create bespoke solutions for its clients.,21600,GBP,34722,Seed,"150,839",1,http://www.linkedin.com/company/chibwe-ltd,http://www.chibwe.com,Nigel Legg,,0,"Seedrs, WebStart Bristol","Bristol, Bristol, City of, United Kingdom",
Init.ai (acquired by Apple),https://www.crunchbase.com/organization/init-ai,"Artificial Intelligence, B2B, Developer Platform, Developer Tools, Machine Learning, Messaging, Natural Language Processing, Virtual Assistant",Init.ai is a developer platform that enables its users to design and develop language conversational mobile applications.,,,,Seed,"152,409",1,https://www.linkedin.com/company/10536356,https://www.init.ai,"Keith Brisson, Kyle DeTella, Trevor McNaughton, William Dawoodi",,0.4,"Techstars, Boldstart Ventures, Esther Dyson, Techstars Boulder Accelerator, Valence Ventures","New York, New York, United States",
Tourism4me,https://www.crunchbase.com/organization/tourism4me,"Hospitality, Software, Tourism, Travel","Tourism4me is developing software for the tourism industry, with a focus on the vacation rentals market.",15000,EUR,16794,Seed,"154,340",1,http://www.linkedin.com/company/tourism4me,http://tourism4me.com,"Augustin Jarak, Siniša Kravaršćan",,-0.4,33entrepreneurs,"Delaware, Ohio, United States",
SmartKickz,https://www.crunchbase.com/organization/smartkickz,"Education, Fashion, Shoes, Software",Learning Technology GPS Children's Footwear,50000,USD,50000,Seed,"154,803",1,http://www.linkedin.com/company/smartkickz-inc,http://smartkickz.com/?reqp=1&reqr=,"Taze R. Ellis, Uchenna Dike",,-0.5,,"Sacramento, California, United States",
"TAFi, Inc.",https://www.crunchbase.com/organization/tafi-inc,"Analytics, Health Care, Software",TAFi liberates hospital electronic medical record data and empowers real-time predictive analytics.,,,,Pre-Seed,"159,509",1,https://www.linkedin.com/company/tafi,http://www.tafi.io,"Kevin Desai, Mel Cohen",Less than $1M,-0.3,LAUNCH,"Chicago, Illinois, United States",
CONCIERGED MEDICAL,https://www.crunchbase.com/organization/concierged-medical-2,"EdTech, Health Care, Medical, Software",Personal Electronic Health Records Management Systems,50000,USD,50000,Seed,"165,744",1,,https://www.conciergedmedical.com,"Alain Ghonda, Dr. Michael Dechert",,-0.8,,"Silver Spring, Maryland, United States",
Watercluster,https://www.crunchbase.com/organization/watercluster,"B2B, Natural Resources","First platform for 7Bn Users, $620 Bn global water sector.",50000,USD,50000,Seed,"170,485",1,,https://www.watercluster.com/,,,3.8,,"Santa Monica, California, United States",
PointStart,https://www.crunchbase.com/organization/pointstart,"Computer, Data Integration, Software, Web Apps",PointStart provides its clientele with modern web applications and api integrations to bring their businesses into the 21st century.,20000,USD,20000,Seed,"170,771",1,https://www.linkedin.com/company/5021465?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A1-1-1%2CtarId%3A1429526034380%2Ctas%3A%20PointStart,https://www.pointstart.io/,,,-0.1,,"Toledo, Ohio, United States",
Codescoop,https://www.crunchbase.com/organization/codescoop,"Information Technology, Software",Codescoop is developing an open source software management and quality tracking tool.,,,,Seed,"174,869",2,https://www.linkedin.com/company/codescoop/,http://www.codescoop.com/,Valtteri Halla,,-0.4,Superhero Capital,"Helsinki, Southern Finland, Finland",
Clipman,https://www.crunchbase.com/organization/clipman,"Computer, E-Commerce, Marketing, Software, Video",Clipman is software tool used to create product videos in just minutes that boost e-commerce marketing and drive sales.,,,,Seed,"192,712",1,,https://clipman.com,"Peep Ploom, Raul Kaevand",,-0.1,Spring Capital,"Tallinn, Harjumaa, Estonia",
skylable,https://www.crunchbase.com/organization/skylable,"Open Source, Software",Open-source software-defined storage,,,,Seed,"197,066",1,http://www.linkedin.com/company/skylable,http://www.skylable.com,"Alberto Wu, Edvin Torok, Luca Gibelli, Tomasz Kojm",,6.8,,"London, England, United Kingdom",
Intelliment Security,https://www.crunchbase.com/organization/intelliment-security,"Information Technology, Infrastructure, Network Security, Security, Software",Intelliment Security is a highly scalable network security policy automation that provides software defined security controller products.,,,,Seed,"206,434",2,,http://www.intellimentsec.com,"Eduardo Fernández León, Sergio Pozo",,-0.4,"Seedcamp, Crane Venture Partners, Finch Capital, Cisco Entrepreneurs in Residence","London, England, United Kingdom",
Digital Brand Group,https://www.crunchbase.com/organization/digital-brand-group-inc,"Consulting, Mobile, Software, Web Development",Custom Software Development Services,,,,Seed,"220,133",1,http://www.linkedin.com/company/digital-brand-group-inc,http://www.digitalbrandgroup.com,Jeremiah Jacks,,-0.1,,"Irvine, California, United States",
Nanotech Biomachines,https://www.crunchbase.com/organization/nanotech-biomachines,"Biotechnology, Information Technology, Medical, Software",Nanotech Biomachines develops a sensor technology for therapeutic discovery and development applications.,,,,Seed,"221,914",3,https://www.linkedin.com/company-beta/2969125/,http://www.nanotechbio.com,Will Martinez,,0,"Sand Hill Angels, Life Science Angels, Generation Ventures","Richmond, California, United States",
Heyy App,https://www.crunchbase.com/organization/heyy-app,"CMS, CRM, Software",Digital Media CMS,,,,Series A,"238,353",2,,https://www.heyy.com,Andrew Danner,,0,,"Santa Monica, California, United States",
NootBot,https://www.crunchbase.com/organization/nootbot,"Apps, Software",Messenger chatbot for nootropics (congitive enhancers). Talk and suggest right cognitive enhancers. ,35000,USD,35000,Seed,"259,544",1,,,"Jernej Nose, Peter Jamnik",,-1,"LAUNCHub Ventures, StartLabs, Silicon Gardens","Ljubljana, Ljubljana Urban Commune, Slovenia",
Persista,https://www.crunchbase.com/organization/persista,"Content Discovery, Enterprise Applications, Intelligent Systems, Software",Smarter Software,,,,Seed,"261,115",1,,http://www.persista.com,Mike Rosengarten,,-0.1,Cherubic Ventures,"San Francisco, California, United States",
Tenzar,https://www.crunchbase.com/organization/tenzar,"Apps, Software",Software Technologies For Advanced Computing Workloads,,,,Seed,"262,100",1,https://www.linkedin.com/company/tenzar-technologies/,https://www.tenzar.com,Kevin Yedid-Botton,,4.8,,"San Diego, California, United States",
Torchapp Entertainment,https://www.crunchbase.com/organization/torchapp-entertainment,"Events, Gaming, iOS, Mobile, Mobile Apps, News, Software, Video Games",Torchapp Entertainment is provider of unique mobile games from own development studios to the global market.,10000,USD,10000,Seed,"275,282",1,https://www.linkedin.com/company/torchapp-entertainment,http://torchappentertainment.com,,,-0.4,,"Amsterdam, Noord-Holland, The Netherlands",
Edcoda,https://www.crunchbase.com/organization/edcoda,"E-Learning, EdTech, Education, Gamification, Machine Learning, Mobile Apps, PC Games, Software, Video Games",Edcoda is an educational technology startup that helps kids learn better using gaming and adaptive technology.,,,,Seed,"301,074",1,,http://www.edcoda.com,Clarence Tan,,2.4,,"Kansas City, Kansas, United States",
Scratch-it,https://www.crunchbase.com/organization/scratch-it,"Advertising, Cloud Computing, Enterprise Software, Mobile, Software",Scratch-it is a marketing software tool to create interactive experiences,,,,Seed,"323,158",2,http://www.linkedin.com/company/scratch-it,https://www.scratch-it.com,"Carl-Einar Thorner, Robert Haydock",,-0.5,"Portland Seed Fund, Keiretsu Forum Northwest","Portland, Oregon, United States",
Verecho,https://www.crunchbase.com/organization/verecho-inc,"Enterprise Software, Information Technology, Mobile, Software",Automating People Knowledge Management for the Enterprise,,,,Seed,"342,267",2,https://www.linkedin.com/company/6454883,http://www.verecho.com,"Dale Chen, Pooneet Goel, Scott Wang",Less than $1M,-0.8,"Alchemist Accelerator, Founder Friendly Labs, Prabhu Goel, Chaitanya Chandrasekar, Pooneet Goel","Mountain View, California, United States",
Lifestyle Social,https://www.crunchbase.com/organization/lifestyle-social,"Cloud Infrastructure, Personal Health, SaaS","Lifestyle Social is the continuing vision of a team of personal trainers, nutritionists, scientists, physicians.",,,,Seed,"345,243",1,https://www.linkedin.com/company/lifestyle-social,http://www.lifestylesocial.com,Matthew Lowe,,3.9,Boomtown Accelerators,"Denver, Colorado, United States",
Reveal,https://www.crunchbase.com/organization/reveal-6,"Machine Learning, Recruiting, Software",Reveal uses advanced mathematical models to provide insight about the job market.,,,,Seed,"352,716",1,https://www.linkedin.com/company/reveal-,http://revealhub.com/,,,-0.6,Founders,"Copenhagen, Hovedstaden, Denmark",
oratio,https://www.crunchbase.com/organization/orat-io,"B2B, CRM, Customer Service",Oratio helps businesses to connect with their customers on messengers through personal & automated conversations.,,,,Seed,"359,262",1,,https://orat.io,"Bernhard Hauser, David Pichsenmeister",,-0.4,Axel Springer Plug and Play Accelerator,"Vienna, Wien, Austria",
