IPO Status,Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,CB Rank (Company),Number of Funding Rounds,LinkedIn,Website,Founders,Estimated Revenue Range,Trend Score (90 Days),Top 5 Investors
Private,Elixivity,https://www.crunchbase.com/organization/elixivity,"Artificial Intelligence, B2B, Enterprise Software, Machine Learning","London, England, United Kingdom",Driving Diversity & Inclusion With AI,,,,Pre-Seed,"150,387",1,https://www.linkedin.com/company/elixivity/?viewAsMember=true,https://elixivity.com,"Hassan Ahmadzadeh, Navid Tafreshi",,-0.7,
Private,"Bevov, Inc",https://www.crunchbase.com/organization/bevov-inc,"Artificial Intelligence, B2B, Data Mining, Human Resources, Pharmaceutical, Recruiting","San Francisco, California, United States",Bevov is an AI enabled recruiting technology connecting interview ready qualified candidates to BioPharma companies.,,,,Convertible Note,"152,372",2,https://www.linkedin.com/company/bevov,https://www.bevov.com/,Sandeep Purwar,,2.3,
Private,Octane11,https://www.crunchbase.com/organization/octane11,"B2B, Digital Marketing, Marketing Automation","New York, New York, United States",Multi-channel digital marketing platform for B2B,,,,Seed,"156,347",1,https://www.linkedin.com/company/14071912,http://www.octane11.com,"Dan Rosenberg, Jib Hunt",,-0.4,MathCapital
Private,Flipful,https://www.crunchbase.com/organization/flipful,"B2B, Finance, Financial Services, Human Resources","Riga, Riga, Latvia",Flipful is a simple solution that enables companies’ employees to receive their earned salary before payday.,,,,Pre-Seed,"156,459",1,https://www.linkedin.com/company/flipful/,https://flipful.eu/,Janis Putnins,,1.4,Startup Wise Guys
Private,Esquire'd,https://www.crunchbase.com/organization/esquire-d,"B2B, Legal, Legal Tech, Software","Los Angeles, California, United States",Legal Software and Marketplace for Lawyers,,,,Seed,"162,352",1,https://www.linkedin.com/company/28400316,http://www.getesquired.com,"Matthew Barhoma, Tom Tancredi",,8.7,
Private,PrivacyCloud,https://www.crunchbase.com/organization/privacycloud,"B2B, Information Services, Information Technology","Madrid, Madrid, Spain",PrivacyCloud is a startup working on data privacy between consumers and businesses.,,,,Seed,"163,093",1,https://www.linkedin.com/company/privacy-cloud/about/,https://privacycloud.com/en/,Sergio Maldonado,,0.1,"BBVA, La Sexta Opción"
Private,Octans,https://www.crunchbase.com/organization/octans,"Advertising, B2B, Banking, Financial Services, FinTech, Machine Learning","Barcelona, Catalonia, Spain",Octans is an open banking platform that allows banks and businesses to send products through our audience network based on behaviours.,,,,Pre-Seed,"178,090",1,https://www.linkedin.com/company/octansfinance,https://octans.finance,,,-0.1,UNIQ Ventures
Private,LeadZen,https://www.crunchbase.com/organization/leadzen,"B2B, B2C, Direct Marketing, Direct Sales, Marketing, Sales",,The Art of Buying via trusted personal networks,,,,Pre-Seed,"178,326",1,https://www.linkedin.com/company/getleadzen,https://www.getleadzen.com,Benjamin Scherer,,1,Founder Institute
Private,Aina Software,https://www.crunchbase.com/organization/aina-software-inc,"Advertising Platforms, Artificial Intelligence, B2B, B2C, Human Computer Interaction, Predictive Analytics, Software","Ottawa, Ontario, Canada",AINA software is a software research & development company focused on AI solutions in both B2C & B2B arenas.,,,,Pre-Seed,"181,483",1,https://www.linkedin.com/company/aina-software-inc/,https://www.aina.ai/about,"Faisal Jamal, Izza Masud, Sameer Salahudeen",,-0.4,
Private,GRANDUNO,https://www.crunchbase.com/organization/granduno,"B2B, B2C, Freelance, Information Technology, Small and Medium Businesses, Social Media Advertising, Social Media Marketing","Washington, District of Columbia, United States",GRANDUNO offers a hybrid social network and marketplace to restaurants and bars in the SME segment to attract and retain customers.,,,,Seed,"182,496",1,https://www.linkedin.com/company/granduno/,https://www.granduno.com,,,-0.5,
Private,Yoonop,https://www.crunchbase.com/organization/yoonop,"Agriculture, B2B, Supply Chain Management","Shenyang, Liaoning, China",Yoonop is a self-operated B2B supply chain platform for poultry and egg agriculture.,,,,Angel,"263,546",1,,http://www.yoonop.com,,,7.9,
Private,Nulisec,https://www.crunchbase.com/organization/nulisec,"B2B, E-Commerce, Information Technology, Retail Technology","Prague, Hlavni mesto Praha, Czech Republic",Nulisec enables European manufacturers to transform the way they market and sell to retailers globally,,,,Seed,"277,173",3,,https://nulisec.com,"Long Hai Do, Lukas Pham, Son Nguyen",,-0.5,Lighthouse Ventures
Private,TradEthiopia,https://www.crunchbase.com/organization/tradethiopia,B2B,"Addis Ababa, Adis Abeba, Ethiopia",Tradethiopia is an import/export and international trade connections company in Ethiopia.,,,,Non-equity Assistance,"692,351",1,,http://tradethiopia.com,,,-0.5,FastTrackTech
Private,Baihua Kouyu,https://www.crunchbase.com/organization/baihua-kouyu,"B2B, Education","Beijing, Beijing, China",Baihua Kouyu is a B2B English speaking education companyEducation,,,,Seed,"774,331",1,,,,,-0.9,Igen Fusion Capital
Private,TRACOM Training Command Career Academy,https://www.crunchbase.com/organization/tracom-training-command-career-academy,"B2B, EdTech, Education, Training","Dallas, Texas, United States",TRACOM is a skills-based technical and sales training company addressing the undersupply of credentialed professionals in the economy.,200000,USD,200000,Debt Financing,,1,https://www.linkedin.com/company/tracom-training-command-career-academy/,https://www.tracomtraining.com/,Marvin Key,Less than $1M,,
Private,Hey Monday,https://www.crunchbase.com/organization/hey-monday,"B2B, Human Resources, Internet, Real Estate","London, England, United Kingdom",We empower businesses to address the needs of every single employee.,400000,EUR,456416,Pre-Seed,,1,https://www.linkedin.com/company/hey-monday/,https://www.heymonday.ai/,Markus Urban,,,Kinzo
Private,Outline,https://www.crunchbase.com/organization/heyoutline,"B2B, Customer Service, Product Management, SaaS","San Francisco, California, United States",Outline is a customer engagement platform for Customer Success and Product teams.,,,,Pre-Seed,,1,https://www.linkedin.com/company/heyoutline/,http://www.heyoutline.com,"Josh Kuiros, Rachel Morelli",,,
Private,Unlocked,https://www.crunchbase.com/organization/unlocked-0a33,"B2B, E-Commerce, Enterprise Software, Marketplace, Real Estate","London, England, United Kingdom",Reviving unique urban and heritage spaces in London.,250000,GBP,312550,Pre-Seed,,1,https://www.linkedin.com/company/68340675/,http://www.unlocked.studio,,,,Hambro Perks Ltd.
