Organization Name,Organization Name URL,Industries,Description,CB Rank (Company),LinkedIn,Website,Founders,Headquarters Location
Marcogabo,https://www.crunchbase.com/organization/marcogabo,"Digital Marketing, SEO, Web Design","Marcogabo is a full-service agency that specializes in the mobile application, digital marketing, website creation, SEO and SEM.","938,638",,https://www.marcogabo.com,,"Milan, Lombardia, Italy"
JB Creative Solutions LLC,https://www.crunchbase.com/organization/jb-creative-solutions-llc,"E-Commerce, Internet",JB Creative Decor helps people find the right home and patio decor that,"938,598",,http://jbcreativedecor.com/,,"Santa Clarita, California, United States"
firsatarabalar.com,https://www.crunchbase.com/organization/firsatarabalar-com,"Automotive, E-Commerce, Internet, Internet of Things, Transportation",e-commerce,"938,293",,http://www.firsatarabalar.com,Onur Ünlütürk,"Ankara, Ankara, Turkey"
EG Creative,https://www.crunchbase.com/organization/eg-creative,"Advertising, Business Development, Digital Marketing",EG Creative an innovative marketing relations agency that brings business and people together through the power of imagination.,"938,193",,http://www.eventguides.london/,,"London, England, United Kingdom"
trust and use,https://www.crunchbase.com/organization/trust-and-use,"E-Commerce, Location Based Services",Social Marketplace for consumers,"938,124",,,George Papadimitriou,"Athens, Attiki, Greece"
Medical Droid,https://www.crunchbase.com/organization/medical-droid,"Computer, Electronics, Health Care","Start detecting dangerous health conditions with Medical Droid, all you need is a smartphone and the comfort of your home.","938,042",,http://www.medicaldroid.it,Fabio Rebecchi,"Rome, Lazio, Italy"
Mpij,https://www.crunchbase.com/organization/mpij,"E-Commerce, Home Services, Housekeeping Service, Online Portals","Mpij is an online portal that offers services for service providers and buyers for domestic help, gardener, babysit and tutoring.","938,040",https://www.linkedin.com/company/mpij.nl,http://mpij.nl,,"Utrecht, Utrecht, The Netherlands"
Little Olive Lounge,https://www.crunchbase.com/organization/little-olive-lounge,Food and Beverage,"Little Olive Lounge is the amazing place to eat healthy foods and drink cocktails in Chicago, IL.","937,844",,https://www.littleolivelounge.com/,,"Chicago, Illinois, United States"
Industrial Property Tax Solutions,https://www.crunchbase.com/organization/industrial-property-tax-solutions,"Accounting, Industrial, Professional Services",Industrial Property Tax Solutions is a provider of industrial and complex property tax consulting services.,"937,842",https://www.linkedin.com/company/industrial-property-tax-solutions/,https://www.industrialpts.com/,,"Boerne, Texas, United States"
Yug Media Group,https://www.crunchbase.com/organization/yug-media-group,"Advertising, Marketing, TV Production","Yug Media Group is an advertising firm that offers audio-video production, marketing consulting, accounting audits, and souvenir products.","937,785",,http://ra-od-ukr.com.ua,,"Odesa, Odes'ka Oblast', Ukraine"
Studiebureau Energeos,https://www.crunchbase.com/organization/studiebureau-energeos,"Consulting, Public Safety","Energeos provides safety coordination, EPB & ventilation report, survey and location description services.","937,710",,https://www.energeos.be,,"Zoerle-parwijs, Antwerpen, Belgium"
Novena+,https://www.crunchbase.com/organization/the-testnerds-team,Mobile,A one-stop testing solution for your app to reach zillions of users!,"937,705",https://www.linkedin.com/company/novenaplus?trk=biz-companies-cym,http://www.novenplus.com,Harry Soehalim,"Seattle, Washington, United States"
Kansas City Bid,https://www.crunchbase.com/organization/kansas-city-bid,Real Estate,Equipment and Estate Sale Auctions in Kansas City,"937,677",,https://kansascitybid.com,,"Kansas City, Missouri, United States"
ReputationBoy,https://www.crunchbase.com/organization/reputationboy,"Internet, Privacy, Reputation, Search Engine","ReputationBoy helps businesses and individuals improve their search results, online reputation and protect their privacy.","937,648",https://www.linkedin.com/company/reputationboy,http://www.reputationboy.com,,"Raleigh, North Carolina, United States"
Merkjournalisten,https://www.crunchbase.com/organization/merkjournalisten,"Advertising, Internet, Publishing",Merkjournalisten is Making Remarkable stories for brands. Stories that get noticed.,"937,592",https://www.linkedin.com/company-beta/5056144/,http://merkjournalisten.nl/,Cor Hospes,"Amsterdam, Noord-Holland, The Netherlands"
Tax Debt Fixer LLC,https://www.crunchbase.com/organization/tax-debt-fixer-llc,Consulting,We help clients with tax-related issues and issues with the IRS.,"937,371",,https://www.taxdebtfixerslaw.com,,"Los Angeles, California, United States"
MEMOORY,https://www.crunchbase.com/organization/memoory,"Art, Funerals",MEMOORY provides funeral service and creates personalized tones.,"937,277",https://www.linkedin.com/company/memoory,https://www.memoory.es/,,"Murcia, Murcia, Spain"
Shponka,https://www.crunchbase.com/organization/shponka,"E-Commerce, Electronics, Oil and Gas, Retail","Shponka offers an online store for electric tools such as gas generators, diesel engines, voltage stabilizers, motor sprayers, and more.","937,090",,http://shponka.com.ua,,"Odesa, Odes'ka Oblast', Ukraine"
ePack Marketing,https://www.crunchbase.com/organization/epack-marketing,"Advertising, Marketing, SEO","ePack Marketing provides strategy, website redesign, SEO, advertising and monitoring services for businesses.","936,821",,http://www.epack-marketing.be,,"Stoumont, Liege, Belgium"
"HireRing, LLC",https://www.crunchbase.com/organization/hirering-llc,"Human Resources, Internet, Software","An on demand labor platform for connecting part-time, skilled and hourly workers with hourly, contract and temporary work opportunities.","936,767",,http://www.hirering.us,,"Arlington, Massachusetts, United States"
Cavaticus Group,https://www.crunchbase.com/organization/cavaticus-group,"Consulting, Government, Information Technology",Government acquisitions and contract consulting,"936,737",,,Richard Fly,"Phoenix, Arizona, United States"
Enfocasa,https://www.crunchbase.com/organization/enfocasa,Photography,"ENFOCASA offer you a quality photographic service, with affordable rates ,  both for companies and individuals.","936,726",https://www.linkedin.com/company/enfocasa/,https://enfocasa.wordpress.com/,,"Bilbao, Pais Vasco, Spain"
Base Medical,https://www.crunchbase.com/organization/basemedical,"Fitness, Health Care, Medical",Men's Health Simplified,"936,462",https://www.linkedin.com/company/basemedical,http://www.basemedical.com,,"San Francisco, California, United States"
MerkleTEQ,https://www.crunchbase.com/organization/merkleteq,Software,software,"936,217",,https://www.MerkleTEQ.com,,"Rotterdam, Zuid-Holland, The Netherlands"
KLINQ,https://www.crunchbase.com/organization/klinq-f150,"Advertising, Marketing",KLINQ is an online marketing company.,"936,156",https://www.linkedin.com/company/klinq-marketing/,https://www.klinq.de/,,"Wernigerode, Sachsen-Anhalt, Germany"
Merch,https://www.crunchbase.com/organization/merch-a710,"E-Commerce, Fashion, Retail","Merch is an online shop that offers a wide range of caps, t-shirts, sweatshirts and accessories for men and women.","936,152",,https://merch.sk,,"Senec, Bratislava, Slovakia (Slovak Republic)"
Dnx Design,https://www.crunchbase.com/organization/dnx-design,"Advertising, Brand Marketing, Graphic Design, Web Design","DNX Design engages in marketing strategy, branding, advertising, and print, logo, graphic, product, package, web, and UI/UX designing.","936,107",https://www.linkedin.com/company/dnxdesign/,http://dnxdesign.com.pl/,,"Lodz, Lodzkie, Poland"
Younext Healthcare,https://www.crunchbase.com/organization/younext-healthcare,Manufacturing,Younext Healthcare is a company specialising in the design and manufacture of customised products using cutting-edge 3D printing.,"936,057",https://www.linkedin.com/company/younext-healthcare-sl,https://www.younext.es,,"Zaragoza, Aragon, Spain"
Music Player (Fabulous),https://www.crunchbase.com/organization/music-player-fabulous,"Music, Software",Music Player (Fabulous)  is probably the best looking Music Player for android.,"936,042",,,,"London, England, United Kingdom"
HostTO,https://www.crunchbase.com/organization/hostto,"Property Management, Real Estate",HostTO is a short term property management company.,"935,973",https://www.linkedin.com/company/hostto-inc/,http://www.hostto.ca/,,"Toronto, Ontario, Canada"
Enrest,https://www.crunchbase.com/organization/enrest-493f,"Consulting, Information Technology",Start-up Scouting and Coaching. Helping Service Providers develop next gen access architectures focusing on business outcomes,"935,906",https://www.linkedin.com/company/enrest/,,Daniel Etman,"Antwerp, Antwerpen, Belgium"
"Fluentz, Inc.",https://www.crunchbase.com/organization/fluentz-inc,"Consulting, Information Technology, Legal, Software",Silicon Valley boutique software consultancy,"935,610",https://www.linkedin.com/company/fluentz,https://www.fluentz.io,,"Mountain View, California, United States"
Döring & Pichler,https://www.crunchbase.com/organization/döring-pichler,"Property Management, Real Estate, Rental Property","Döring & Pichler is a real estate agency that deals with renting, purchasing, and selling of property.","935,587",,https://www.doering-immo.de,,"Dachau, Bayern, Germany"
Mareast,https://www.crunchbase.com/organization/mareast,Advertising,"Advise companies on how to increase their digital capabilities across various areas e.g marketing, sales, operational efficiency, growth.","935,470",,,Helena Juhlin Pink,"Stockholm, Stockholms Lan, Sweden"
Mobile Direct Solutions,https://www.crunchbase.com/organization/mobile-direct-solutions,Mobile Devices,"Cracked/Broken Screens, Battery Replacement, Diagnostics, or Water Damage Issues?","935,446",,http://mobiledirectsolutions.com/,,"Winnipeg, Manitoba, Canada"
BrightSpark Coaching,https://www.crunchbase.com/organization/brightspark-coaching,Training,Executive and Leadership Coaching for High-Potential Employees and Entrepreneurs in Agile and Software Companies,"935,431",https://www.linkedin.com/company/brightspark-coaching,http://brightsparkcoaching.com,Niki Kohari,"Raleigh, North Carolina, United States"
Evis solutions,https://www.crunchbase.com/organization/evis-solutions,"Advertising, Customer Service, Software","Evis solutions offer services such as advertising, software and customer support.","935,428",,http://www.c-all.sk,,"Bratislava, Bratislava, Slovakia (Slovak Republic)"
Packard Hill Villas LLC,https://www.crunchbase.com/organization/packard-hill-villas-llc,Vacation Rental,Vacation Rental Company,"935,410",https://www.linkedin.com/company/packard-hill-villas-llc/,,Christopher Marconi,"Denver, Colorado, United States"
MrWEB.top,https://www.crunchbase.com/organization/mrweb-top,"Advertising, Fashion, Marketing, Mobile Apps, SEO, Web Design","Web Design, Web Development, SEO, Google AdWords Campaigns, Social Media Marketing","935,382",https://www.linkedin.com/in/mrweb-top-0ba31a129,http://mrweb.top,,"Agrínio, Aitolia kai Akarnania, Greece"
Inspiring Visions,https://www.crunchbase.com/organization/inspiring-visions,"Career Planning, Consulting, Education",We offer career counselling support and programs.,"935,381",,http://www.inspiringvisions.ca/,,"Kelowna, British Columbia, Canada"
Bay Hotels & Leisure,https://www.crunchbase.com/organization/bay-hotels-leisure,"Hotel, Real Estate",Bay Hotels & Leisure S.A. offers real estate services.,"935,225",,http://bayhotels.es/,,"Madrid, Madrid, Spain"
PE PEP B.V,https://www.crunchbase.com/organization/pe-pep-b-v,Management Consulting,PE PEP B.V is a strategic advisory boutique that helps Private Equity owned portfolio companies progress.,"935,208",,http://www.pe-pep.com/,,"Amsterdam, Noord-Holland, The Netherlands"
Primacy Health,https://www.crunchbase.com/organization/primacy-health,"Health Care, Wellness",Primacy Health  is the healthcare company to offer five innovative and cutting-edge technology products.,"935,200",https://www.linkedin.com/company/primacy-health/,https://primacyhealth.com/,,"Phoenix, Arizona, United States"
The Briefing Room,https://www.crunchbase.com/organization/the-briefing-room,News,We offer a platform for a user to access daily newsletters from a variety of sources across the political spectrum. Stay informed.,"935,143",,http://thebriefingroom.co.uk,,"Cambridge, Cambridgeshire, United Kingdom"
Miibrand,https://www.crunchbase.com/organization/miibrand-2,"Advertising, CRM, Event Management, Web Design",Miibrand is a creative design company specialising in social media marketing and website development.,"935,022",https://www.linkedin.com/company/miibrand-ltd,http://www.miibrand.com/,,"London, England, United Kingdom"
Expert Sanding - Dublin,https://www.crunchbase.com/organization/expert-sanding-dublin,Home Renovation,"Floor Sanding Specialists based in Dublin, Ireland.","934,967",https://www.linkedin.com/company/expert-sanding,http://dublin.expertsanding.ie,,"Dublin, Dublin, Ireland"
Biz Vista,https://www.crunchbase.com/organization/biz-vista,"Digital Marketing, E-Commerce, E-Commerce Platforms",Biz Vista is a digital marketing & eCommerce consultancy company.,"934,949",https://www.linkedin.com/company/biz-vista,https://www.bizvista.com,,"Sydney, New South Wales, Australia"
Credophy,https://www.crunchbase.com/organization/credophy,,SaaS,"934,947",,http://www.credophy.com,,"Vancouver, British Columbia, Canada"
Uninstall Ask Toolbar,https://www.crunchbase.com/organization/uninstall-ask-toolbar,Internet,"We are offering services for, Get Rid of Ask Toolbar, Remove Ask Toolbar, Uninstall Ask Toolbar or Delete Ask Toolbar from Firefox, Chrome","934,945",,http://www.ask.tools/,,"Southfield, Michigan, United States"
Rayvve,https://www.crunchbase.com/organization/rayvve,"Business Development, E-Commerce, Marketing, Shopping",Online Shopping and Product Promotion,"934,838",,http://www.rayvve.com,Josh Bickel,"Greensburg, Pennsylvania, United States"
Ladigit,https://www.crunchbase.com/organization/ladigit,"Advertising, Consulting, Legal, Web Design","More than a decade of Marketing Experience with leading brands like Microsoft, Nikon, Siemens or Intel.","934,780",,https://ladigit.com/,,"Munich, Bayern, Germany"
Thomas L. Brown Insurance Agency,https://www.crunchbase.com/organization/thomas-l-brown-insurance-agency,"Financial Services, Insurance",Health Insurance,"934,700",,,,"Charlotte, North Carolina, United States"
Nara Creative,https://www.crunchbase.com/organization/nara-creative,"Digital Marketing, Web Design, Web Development",Nara Creative is a digital marketing web design company located in Montreal.,"934,687",https://www.linkedin.com/company/nara-creative,https://www.naracreative.com,,"Montreal, Quebec, Canada"
Cross Motion,https://www.crunchbase.com/organization/cross-motion,Education,Cross Motion is a EU-funded project facilitating cooperation between screen industries and the education.,"934,651",,http://www.crossmotion.org,,"Tallinn, Harjumaa, Estonia"
Kussbus,https://www.crunchbase.com/organization/kussbus-f4ae,"Consumer Applications, Transportation, Travel",Kussbus is a mobile application that facilitates shuttle service for daily commuters.,"934,621",,http://kussbus.lu,,"Luxembourg, Luxembourg, Luxembourg"
"Carpenter Consulting Partners, Inc.",https://www.crunchbase.com/organization/carpenter-consulting-partners-inc,"Consulting, Information Technology, Staffing Agency","CCP, Inc. provides administrative infrastructure consulting and retained executive search services.","934,601",https://www.linkedin.com/in/maiacybelle/,,"Maia Cybelle Carpenter, CPCC","San Francisco, California, United States"
Industria Metals,https://www.crunchbase.com/organization/industria-metals,,Industria Metals provides relevant information concerning the System for Electronic Document Analysis and Retrieval (SEDAR).,"934,567",,https://www.sedar.com/DisplayProfile.do?lang=EN&issuerType=03&issuerNo=00043221,,"Vancouver, British Columbia, Canada"
PiyonLab,https://www.crunchbase.com/organization/piyonlab,"SEO, Social Media, Software","PiyonLab is a software company that provides web solutions, SEO, and social media services.","934,437",https://www.linkedin.com/company/piyonlab,http://piyonlab.com,,"Kocaeli, Kocaeli, Turkey"
Blü Haus Studios,https://www.crunchbase.com/organization/blü-haus-studios,"Graphic Design, Web Design","Blu House Studios offers print design, digital & web design, illustration & social media management.","934,332",https://www.linkedin.com/company/blu-haus-studios/,http://bluhausstudios.com/,,"Charlottetown, Prince Edward Island, Canada"
Shehnai Bridal Boutique,https://www.crunchbase.com/organization/shehnai-bridal-boutique,Jewelry,"Fashion Jewelry in Fremont, CA","934,285",,http://LehengainFremontCA94538.htm,,"Fremont, California, United States"
Epoxy Flooring Specialist,https://www.crunchbase.com/organization/epoxy-flooring-specialist,Small and Medium Businesses,Providing your business with quality epoxy floors that lasts.,"934,271",,,,"Bloomfield Hills, Michigan, United States"
TRADEtronic,https://www.crunchbase.com/organization/tradetronic,"Electronics, Lighting, Manufacturing","TRADEtronic sells LED components, LED luminaires and electronic components.","934,210",,http://www.tradetronic.cz/,,"Litomysl, Pardubicky kraj, Czech Republic"
The Marina,https://www.crunchbase.com/organization/the-marina,"Advertising, E-Commerce, Internet, Publishing","The Marina is a digital platform and multidisciplinary creative shop connecting brands, publishers, and content creators.","934,195",https://www.linkedin.com/in/debbiesaslaw,http://www.enjoythemarina.com,,"Brooklyn, New York, United States"
BIG DATA UA,https://www.crunchbase.com/organization/big-data-ua,"Commercial, Telecommunications, TV",Big Data is a rating agency that provides services in commercial TV channel rating monitoring.,"934,149",,http://www.bigdataua.com,,"Kyiv, Kyyiv, Ukraine"
BON PLEIN,https://www.crunchbase.com/organization/bon-plein,Business Development,BON PLEIN enables business. We embrace complex business challenges,"933,997",,https://bonplein.co,Clemens Maria Schuster,"Zürich, Zurich, Switzerland"
Cross Case Corp,https://www.crunchbase.com/organization/cross-case-corp,"Android, Electronics, Hardware, iOS, Mobile, Software",Turning an iPhone into an Xbox with wireless touchscreen micro peripheral technology. Mobile Modular Tech.,"933,963",,http://www.crosscasecorp.com,,"New Paltz, New York, United States"
Brab,https://www.crunchbase.com/organization/brab,"Digital Marketing, Web Development","Brab Agency offers digital marketing solutions, web designing, corporate identity, and brand positioning.","933,940",,http://www.brabagency.com,,"Kyiv, Kyyiv, Ukraine"
UA-ELOCHKI,https://www.crunchbase.com/organization/ua-elochki,"E-Commerce, Home Decor, Sales","UA-ELOCHKI is an online store that offers a wide variety of artificial Christmas tree, cast, and decorative baskets.","933,828",,http://www.ua-elochki.com.ua,,"Dnipropetrovsk, Dnipropetrovs'ka Oblast', Ukraine"
Holochef,https://www.crunchbase.com/organization/holochef,Food and Beverage,Connecting chefs to enthusiastic cooks,"933,771",,,,"Athy, Kildare, Ireland"
Strax IVS,https://www.crunchbase.com/organization/strax-ivs,"Biotechnology, Health Care",MedTech startup within the orthopedic field with a novel bone fracture treatment concept.,"933,705",,,,"Hellerup, Hovedstaden, Denmark"
Fun Agency,https://www.crunchbase.com/organization/fun-agency,"Advertising, Creative Agency, Graphic Design","Fun is a Creative Agency specialise in working with food, drink and leisure brands, plus anything else that sparks its interest.","933,525",,https://www.funagency.co.uk/,,"Leeds, Leeds, United Kingdom"
Whoa Software Inc,https://www.crunchbase.com/organization/whoa-software-inc,"Big Data, Information Technology, Internet of Things, Location Based Services","Whoa is platform that delivers the most up-to-date, factual, interesting information on the web relative to a users location.","933,519",,https://whoa.me,,"Brooklyn, New York, United States"
Siltom Institute,https://www.crunchbase.com/organization/siltom-institute,"E-Learning, Sales",Siltom Institute is an e-learning platform to grow sales in your business.,"933,514",https://www.linkedin.com/company/sitominstitute/,http://www.siltom.com,,"Sant Cugat Del Vallès, Catalonia, Spain"
BuscoCerrajero24h,https://www.crunchbase.com/organization/buscocerrajero24h,Professional Services,BuscoCerrajero24h offers professional locksmith services for over the world.,"933,425",,http://www.buscocerrajero24h.com/,,"Ávila, Castilla y Leon, Spain"
HILLA Entertainment,https://www.crunchbase.com/organization/hilla-entertainment,Digital Entertainment,HILLA Entertainment is a entertainment company.,"933,379",https://www.linkedin.com/company/hilla-entertainment/,https://www.hillaentertainment.fi/,,"Tampere, Western Finland, Finland"
AIory,https://www.crunchbase.com/organization/aiory,Communities,AIory is a revolutionary business model designed to funnel resources to communities around the world,"933,366",,https://aiory.org/,,"Los Angeles, California, United States"
SeatHost,https://www.crunchbase.com/organization/seathost,"Apps, Delivery, Mobile Apps","SeatHost allows user to order food, drinks, apparel directly to their seat or for pick up.","933,287",,http://seathost.net,,"Boston, Massachusetts, United States"
"Third Kind, LLC",https://www.crunchbase.com/organization/third-kind-llc,,"Wake And Powder prepares you to snowboard, wakeboard, and wake","933,284",,,,"Spokane, Washington, United States"
Vecto,https://www.crunchbase.com/organization/vecto,Health Care,WIth Vecto you create albums. Share photos and write comments with the people you care about. Storage your albums in the Vecto bookcase.,"933,196",,https://www.vectoworld.com,,"Breda, Noord-Brabant, The Netherlands"
SOKEO,https://www.crunchbase.com/organization/sokeo,"SEO, Web Design",SOKEO is a human web agency.,"933,179",https://www.linkedin.com/company/sokeo/,https://sokeo.fr/,,"Marseille, Provence-Alpes-Cote d'Azur, France"
Allora Factory,https://www.crunchbase.com/organization/allora-factory,,We design intelligent Long-Range Low-Power IoT hardware & embedded firmware,"932,894",https://www.linkedin.com/company/allorafactory/,,Pieter De Mil,"Lochristi, Oost-Vlaanderen, Belgium"
Self-Worth Non-Profit,https://www.crunchbase.com/organization/self-worth-non-profit,Education,Self-Worth Non-Profit raises money for abused teens and children to make their lives meaningful and helps them to be entrepreneurs.,"932,852",,https://alluretrends-beautymixers.squarespace.com/,,"New York, New York, United States"
Veras Brothers Capital,https://www.crunchbase.com/organization/veras-brothers-capital,"Financial Services, FinTech","VB Capital - founded from the Veras Brothers to realize their terminal exchange system ""Pyro World"".","932,778",,http://www.verasbrothers.com,,"Zürich, Zurich, Switzerland"
Satodi,https://www.crunchbase.com/organization/satodi-com,Social Network,Satodi is a utility program that allows you to slog on any website and read slogs that other people have slogged.,"932,666",,https://satodi.com,Dmitry Salnikov,"Moscow, Moscow City, Russian Federation"
SpiderBookie,https://www.crunchbase.com/organization/spiderbookie,"Apps, Mobile Apps, Sports",Fantasy sports money management and betting app,"932,653",,http://www.spiderbookie.com,Michael Turner,"San Francisco, California, United States"
Recruitsurf,https://www.crunchbase.com/organization/recruitsurf-llc,"Human Resources, Internet, Staffing Agency",We let anonymous job seekers look for jobs and be found be interested recruiters. Don't let personal privacy concerns stop career progress.,"932,645",,https://www.RecruitSurf.com,,"Washington, District of Columbia, United States"
5 Star Shareware,https://www.crunchbase.com/organization/5-star-shareware,"Communities, Software",5 Star Shareware is a windows software community hub.,"932,633",,,,"London, England, United Kingdom"
Sooii,https://www.crunchbase.com/organization/sooii,"Animation, Brand Marketing, Virtual Reality","Sooii deals with virtual reality spaces, branding, animation, CGI, and film post-production with high-quality images for development.","932,627",https://www.linkedin.com/company/sooii-gmbh/,http://www.sooii.de,,"Wuppertal, Nordrhein-Westfalen, Germany"
Sussex Select,https://www.crunchbase.com/organization/sussex-select,Commercial,Sussex Select,"932,544",,,,"New York, New York, United States"
Fiscal World,https://www.crunchbase.com/organization/fiscal-world,"Accounting, Finance, Financial Services","Fiscal world specializes in financial services such as accounting, payroll processing, patronage CAF and payments processing to name a few.","932,521",,http://www.fiscalworld.it,,"Milano, Lombardia, Italy"
Dartex Holdings Ltd.,https://www.crunchbase.com/organization/dartex-holdings-ltd,"Health Care, Manufacturing",Dartex Holdings Ltd. manufactures polyurethane coated fabrics for medical equipment and pressure injury prevention.,"932,440",,,,"Long Eaton, Derbyshire, United Kingdom"
Yobko,https://www.crunchbase.com/organization/yobko,"Business Development, Personal Branding",Yobko operates on the basis of experience that has been guaranteed to us by over ten years of practice in the industry.,"932,096",,http://yobko.com,,"Wroclaw, Dolnoslaskie, Poland"
Sector 3 Architecture,https://www.crunchbase.com/organization/sector-3-architecture,Architecture,Architecture Firm,"932,079",,http://sector3.co,,"Portland, Oregon, United States"
view.it esports,https://www.crunchbase.com/organization/view-it-esports,"Gaming, Sports",esports company set out to grow a better esports industry for everyone,"932,062",https://www.linkedin.com/company/view.it-esports/,http://www.viewitesports.com/,Victor Sanchez Grahm,"London, England, United Kingdom"
Westman Consulting,https://www.crunchbase.com/organization/westman-consulting-ltd,"Consulting, Information Technology",Westman Consulting,"932,017",https://www.linkedin.com/company/westman-consulting-ltd/,http://www.westmanconsulting.co.uk/,Mick Westman,"Solihull, Solihull, United Kingdom"
Verol,https://www.crunchbase.com/organization/verol,Building Material,"Verol is a webshop of building materials, roofing, front, communication, and plumbing as well as finishes, decor, and decoration.","932,005",,http://www.verol.kh.ua,,"Kharkov, Kharkivs'ka Oblast', Ukraine"
Lara,https://www.crunchbase.com/organization/lara,,Personal finance,"931,940",,http://www.laraapp.io,,"Boston, Massachusetts, United States"
Ask Online Pharmacist - patientandpharmacist.com,https://www.crunchbase.com/organization/ask-online-pharmacist-patientandpharmacist-com,"Health Care, Mobile Apps, Web Apps","web, mobile","931,934",,https://www.patientandpharmacist.com/,Pratik Dalwadi,"Vancouver, British Columbia, Canada"
Sispo,https://www.crunchbase.com/organization/sispo,"App Discovery, Database, Mobile Apps","Sispo deals with Mobile App Development, UX/UI Design, and database development services for android and IOS.","931,879",,https://sispo.co,,"Zaporizhzhya, Zaporiz'ka Oblast', Ukraine"
Golden Sky Minerals,https://www.crunchbase.com/organization/golden-sky-minerals,"Mineral, Precious Metals",Luckystrike Resources Ltd. is a company that is exploring six 100% owned White Gold District properties.,"931,624",,https://goldenskyminerals.com/,,"Vancouver, British Columbia, Canada"
BlockLAB,https://www.crunchbase.com/organization/blocklab-72d5,"Blockchain, Information Services, Information Technology","BlockLAB is utilizing the power of blockchain technology, hydro-electric power, and nature.","931,400",https://www.linkedin.com/company/blocklabgroup/about/,https://www.blocklab.ca/,Curtis Doran,"Wabush, Newfoundland, Canada"
Wonderbase,https://www.crunchbase.com/organization/wonderbase-26b7,"Mobile Apps, UX Design","Wonderbase provides UX-UI designing, mobile app development, front-end and back-end development services.","931,355",https://www.linkedin.com/company/wonderbase/,https://wndrbase.com/,,"Moscow, Moscow City, Russian Federation"
More United UK,https://www.crunchbase.com/organization/more-united-uk,"Government, Non Profit, Politics",More United is a political organization that uses people-power to change British politics.,"931,327",https://www.linkedin.com/company-beta/16163770/,http://www.moreunited.uk/,Bess Mayhew,"London, England, United Kingdom"
Automatski Pharmaceuticals,https://www.crunchbase.com/organization/automatski-pharmaceuticals,"Health Care, Medical, Pharmaceutical",Healing the Human Race,"931,313",,http://automatski.com,"Aditya Yadav, Renu Yadav","Los Angeles, California, United States"
STARTUP EVENTS XYZ,https://www.crunchbase.com/organization/startup-events-xyz,Communities,STARTUP EVENTS XYZ,"931,226",https://www.linkedin.com/company/startup-events-xyz/about/,https://www.startupevents.xyz/,Amed Otay,"Liège, Liege, Belgium"
Rocky Mountain GTL,https://www.crunchbase.com/organization/rocky-mountain-gtl,"Energy, Oil and Gas, Sustainability","Rocky Mountain GTL is a privately owned company that designs, constructs, and operates small scale gas to liquids plants.","931,189",https://www.linkedin.com/company/rocky-mountain-gtl-inc/,http://rockymountaingtl.com/,,"Calgary, Alberta, Canada"
Bonbids fundraising giving game,https://www.crunchbase.com/organization/bonbids,"Finance, Financial Services, FinTech",Raise money for your Cause. Win great stuff for yourself.,"931,169",,http://www.bonbids.com,Monique Giroux,"Chadds Ford, Pennsylvania, United States"
gift'd online,https://www.crunchbase.com/organization/gift-d-online,"E-Commerce, Gift, Retail, Shopping","Practically fun gift ideas for men, women and children. Always on trend. Always great value.","931,100",,https://www.giftdonline.com,,"Manchester, Manchester, United Kingdom"
Blue One Jewelry,https://www.crunchbase.com/organization/blue-one-jewelry,"E-Commerce, Fashion, Jewelry",Blue One Jewelry is an e-commerce platform for jewelry.,"931,089",,https://blueone.jewelry/,,"Valencia, Comunidad Valenciana, Spain"
Murphey Investments LLC,https://www.crunchbase.com/organization/murphey-investments-llc,Health Care,Murphey Investments LLC,"931,072",,,Sebastian Guthery,"Oceanside, California, United States"
WiStat Solutions,https://www.crunchbase.com/organization/wistat-solutions,Wireless,WiStat Solutions offers wireless technology and signal detection services.,"930,864",https://www.linkedin.com/company/wistat-solutions,https://wistat-solutions.com,,"Madrid, Madrid, Spain"
Software Solutions Center One,https://www.crunchbase.com/organization/software-solutions-center-one,Software,Software Solutions Center One is a digital software company that develops its own solutions and products.,"930,820",https://www.linkedin.com/company/software-solutions-center-one,http://www.ssc-one.com/,,"München, Bayern, Germany"
CLIPd,https://www.crunchbase.com/organization/clipd-2,Media and Entertainment,Icons of Rage...,"930,712",,https://www.clipd.xyz/,,"Manchester, Manchester, United Kingdom"
Dinento Solutions Inc.,https://www.crunchbase.com/organization/dinento-solutions-inc,"Advertising, Food and Beverage, Hospitality, Marketing",Smart Dining,"930,684",,http://www.dinento.com,,"Vancouver, British Columbia, Canada"
Sotelo,https://www.crunchbase.com/organization/sotelo,"Mobile Apps, Software, Web Development","Sotelo is a web application, mobile apps, and technology consulting company.","930,609",https://www.linkedin.com/company/sotelo-creative-solutions,http://sotelosolutions.com/,,"Madrid, Madrid, Spain"
Smart M2,https://www.crunchbase.com/organization/smart-m2,"Advice, Business Development, Consulting","SMART M2 offers integrated solutions on every aspect of the workplace strategy, from workplace culture, and communication analysis.","930,598",https://www.linkedin.com/company/smart-m2/,http://smartm2.pl,,"Warsaw, Mazowieckie, Poland"
Peabody Health,https://www.crunchbase.com/organization/peabody-health,Health Care,Virtual healthcare assistant empowering people to better navigate their benefits and the healthcare system.,"930,523",,http://www.peabodyhealth.com,,"Detroit, Michigan, United States"
QuePelazo,https://www.crunchbase.com/organization/quepelazo,"Health Care, Hospital","QuePelazo is a website for selection and reservation of hospitals and transplant clinics in Turkey, Portugal and Spain.","930,514",,http://www.QuePelazo.com,,"Madrid, Madrid, Spain"
